title,artist,existing_year,existing_year_source,existing_status,existing_notes,csv_year,estimated_year,mb_year,mb_year_source,deezer_year,discogs_year,discogs_rejected_year,discogs_rejected_reason,chosen_candidate,status,notes,diff,spotify_track_id,spotify_match_name,spotify_match_artist,match_method,similarity_score,isrc,spotify_found,final_year
Ghetto Supastar (That is What You Are) (feat. Ol' Dirty Bastard & Mýa),"Pras, Ol' Dirty Bastard, Mýa",1998,csv_year,mb_match_uncertain,artist_or_title_mismatch,1998,1998,1998,mb_match_uncertain,1998,,,,,mb_match_uncertain,artist_or_title_mismatch,0,31bf9SEOppLU6lQ85d8om6,Ghetto Supastar (That is What You Are) (feat. Ol' Dirty Bastard & Mýa),"Pras, Ol' Dirty Bastard, Mýa",playlist_import,,USSM19803488,true,
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton, Nightcrawlers, Mufasa & Hypeman, Mufasa, Dopamine",2021,csv_year,mb_match_uncertain,artist_or_title_mismatch,2021,2021,2021,mb_match_uncertain,2021,,,,,mb_match_uncertain,artist_or_title_mismatch,0,4cG7HUWYHBV6R6tHn1gxrl,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton, Nightcrawlers, Mufasa & Hypeman, Mufasa, Dopamine",playlist_import,,GBCEN2000163,true,
Tacata,Tacabro,2012,final_year,mb_anchor_ok,discogs skipped (deezer confirmed),2013,2013,2012,mb_match_uncertain,2012,,,,,mb_match_uncertain,artist_or_title_mismatch,0,6EhPXpRYkwGwg8lx3XiGTI,Tacata,Tacabro,playlist_import,,ITV951100211,true,
Backseat of Your Cadillac - Single Version,C.C. Catch,2018,csv_year,existing_year_conflict,discogs:no_result; earlier:deezer; existing_year 2018 (estimated_year) differs from MusicBrainz 2025,2018,2018,2025,mb_ok,2018,,,,,review_needed_other_source_earlier,discogs:no_result; earlier:deezer; review: Deezer/Discogs earlier than MusicBrainz,7,08ELdy0Y3kHX59SR5qy69z,Backseat of Your Cadillac - Single Version,C.C. Catch,playlist_import,,DEH820500223,true,
I Want To Break Free,Queen,2018,csv_year,review_needed_other_source_earlier,earlier:deezer+discogs,2018,2018,2018,mb_ok,2011,1984,,,,review_needed_other_source_earlier,earlier:deezer+discogs; review: Deezer/Discogs earlier than MusicBrainz,0,7iAqvWLgZzXvH38lA06QZg,I Want To Break Free,Queen,playlist_import,,GBUM71805978,true,
Get Busy,Sean Paul,2022,csv_year,existing_year_conflict,earlier:deezer; existing_year 2022 (estimated_year) differs from MusicBrainz 2002,2022,2022,2002,mb_ok,1900,2003,,,,review_needed_other_source_earlier,earlier:deezer; review: Deezer/Discogs earlier than MusicBrainz,20,6bK9BH9Ts8Gj5JFvnQkzak,Get Busy,Sean Paul,playlist_import,,USAT20202575,true,
Jumpin' Jack Flash,The Rolling Stones,2021,csv_year,review_needed_other_source_earlier,earlier:deezer+discogs,2021,2021,2021,mb_ok,2005,1991,,,,review_needed_other_source_earlier,earlier:deezer+discogs; review: Deezer/Discogs earlier than MusicBrainz,0,1uBsu3PbD2909UBIfEMLvK,Jumpin' Jack Flash,The Rolling Stones,playlist_import,,USA171810060,true,
No Limit,2 Unlimited,2014,csv_year,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 2014 (estimated_year) differs from MusicBrainz 1993,2014,2014,1993,mb_ok,1993,,,,1993,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 2014 (csv_year) differs from MusicBrainz 1993,21,1hGvGM76KOX6tpAyaHB0au,No Limit,2 Unlimited,playlist_import,,BEAA19507007,true,
SOS,ABBA,2008,csv_year,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 2008 (estimated_year) differs from MusicBrainz 1975,2008,2008,1975,mb_ok,2008,,,,1975,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 2008 (csv_year) differs from MusicBrainz 1975,33,5pMmWfuL0FTGshYt7HVJ8P,SOS,ABBA,playlist_import,,SEAYD7501040,true,
Mr. Saxobeat,Alexandra Stan,2016,csv_year,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 2016 (estimated_year) differs from MusicBrainz 2011,2016,2016,2011,mb_ok,2020,,,,2011,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 2016 (csv_year) differs from MusicBrainz 2011,5,2BTSWfjaTMYWCxhmVRhqLK,Mr. Saxobeat,Alexandra Stan,playlist_import,,ROCRP1002864,true,
