title,artist,estimated_year,spotify_track_id,isrc
Island In The Sun,Harry Belafonte,2005,0dRcFOOCdwbEMFLeibJhxV,USRC19901761
No Time To Die,Billie Eilish,2021,527BVezmvYjbc4JlVJW4Xj,USUM72002771
(What A) Wonderful World - Mono,Sam Cooke,1960,2G0GextMwZJLkNxcSZ7ZJ3,USA171920056
When I Get You Alone,Robin Thicke,2002,1jzWQHcMT8rxvgUjUiqGIH,USIR10210894
Blank Space,Taylor Swift,2014,1u8c2t2Cy7UBoG4ArRcF5g,USCJY1431309
Love Is In The Air,John Paul Young,1989,38GqIQ4RVkat91RnQrLJYP,AUAP07800004
Insomnia,Faithless,2008,3XTefle3zvDkjgS1Fiq14A,GBBXH0300055
Whistle,Flo Rida,2012,3bC1ahPIYt1btJzSSEyyrF,USAT21201745
Year of the Cat,Al Stewart,2003,2NQhQlcVAcDRN3jf6FDTlm,GB01A0600657
Surfin' U.S.A. (Mono),The Beach Boys,1963,2dbaIpJoAk2hhrrX2ljKJo,USCA21201943
More Than You Know,"Axwell /\ Ingrosso, Axwell, Sebastian Ingrosso",2017,6h5PAsRni4IRlxWr6uDPTP,GBUM71701735
Smoke on the Water,Deep Purple,1990,0XHWClSz0v6RIaRSGqJH3X,GBDXG0600239
Angel Of Mine,Frank Duval,2001,6R4pFpZdnsUCQDPFM33cn5,DEEG22091375
"De Do Do Do, De Da Da Da",The Police,1980,0yJvWbn8xQKiDZ84VN5lQG,GBAAM0201154
Without You,Harry Nilsson,1971,6MrILERJLA3Jcq0E9poZsp,USRC17101019
You Are The Sunshine Of My Life,Stevie Wonder,1972,0n2pjCIMKwHSXoYfEbYMfX,USMO17282852
If You're Not The One,Daniel Bedingfield,2002,6B6aCxSBsECsulzOkJRxGv,GBAKW0201297
Happy Ending,MIKA,2007,0TzbmxnYrlMV6dEln2l9nb,USC7R0600016
Would I Lie To You?,Charles & Eddie,1992,3PkvYP6223QO3xlW2THd1x,USCA29200183
Layla,Derek & The Dominos,2023,3b1L5YvC0jtVtVwZJGpxIh,GBA077025030
El Mismo Sol - Radio Edit,"Alvaro Soler, Nils Faller",2015,78Ao7RI6XcqQLVA4UaFv8d,DEUM71500557
Buona sera,"Louis Prima, Louis Prima Sextet",2018,57RGKNBUbfIBqMFEfE8CxK,DEL111800936
Livin' On A Prayer,Bon Jovi,1986,37ZJ0p5Jm13JPevGcx4SkF,USPR38619998
Clint Eastwood,"Gorillaz, Del The Funky Homosapien",2001,1RKUoGiLEbcXN4GY4spQDx,GBAYE0001408
C’Mon Everybody,Eddie Cochran,1960,7ItZM6DMZE2m1X7yIaRxjq,USEM38800158
Rock Wit U (Awww Baby),Ashanti,2003,6pWzCKTrKrwbUPzY8RLCoP,USDJ20300415
Millennium,Robbie Williams,1998,1nrackcWUBo87xecPgry2G,GBAYK9800003
Lean On,"Major Lazer, DJ Snake, MØ",2015,2YWjW3wwQIBLNhxWKBQd16,QMUY41500008
All The Small Things,blink-182,1999,2m1hi0nfMR9vdGC8UcrnwU,USMC19959123
Cooler Than Me - Single Mix,"Mike Posner, Gigamesh",2010,34GmTxmlK3TGlmqYCbcQKT,USJAY1000035
Grenade,Bruno Mars,2010,4lLtanYk6tkMvooU0tWzG8,USAT21001883
Top Of The World,Carpenters,1972,1Ehdm1PDlKrdfyBsjwEvd1,USAM17200071
Year 3000,Busted,2002,0zjB7ewBWnMgQDMQpFzt92,GBAAN0201145
It's Raining Again,Supertramp,1982,2bzBI23EJWHjXmGj3xlYaM,USAM19500635
Forget Me,Lewis Capaldi,2023,3iHzKA9HlXf5wsGdsrsnSA,DEUM72204717
There's Nothing Holdin' Me Back,Shawn Mendes,2017,7JJmb5XwzOO8jgpou264Ml,USUM71702833
Doin' It,"LL COOL J, Leshaun",1995,4WMBl2wiGUSGa5C7tfQEAo,USDJ29500149
One,U2,1991,3G69vJMWsX6ZohTykad2AU,GBUM71106457
I Got You (I Feel Good),James Brown & The Famous Flames,1966,5haXbSJqjjM0TCJ5XkfEaC,USF066625050
Stick Season,Noah Kahan,2022,0mflMxspEfB0VbI1kyLiAv,USUM72212470
How Do I Live,LeAnn Rimes,2003,7BD50ATrF3Vab5FQy7vtK8,USCRB9700025
Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,"Nathan Evans, 220 KID",2021,3iw6V4LH7yPj1ESORX9RIN,GBUM72100298
Mississippi,Pussycat,1976,3tP0kdmWRSqmJAt4nR3ykw,NLA277500082
Dancing On The Ceiling,Lionel Richie,1986,0snPJPxkk0MbTc0xeUvAPt,USMO18682745
Paint The Town Red,Doja Cat,2023,2IGMVunIBsBLtEQyoI1Mu7,USRC12300907
Patricia,Pérez Prado,1958,1BbZJplex0pifLjhuhoaK5,MXF019900875
Stand By Your Man,Tammy Wynette,1992,6xatfNMI8NkY5XxRHAeiS4,USSM16800038
"Get Up, Stand Up",Bob Marley & The Wailers,1973,5MVW8uIuNuL7CQ0RyyogHI,GBAAN0400796
Who's Johnny,El DeBarge,1986,02RbmzVSbkxJVIqMNx47uY,USMO18600259
As Long as You Love Me,Backstreet Boys,1997,3UpS7kBnkVQYG13pDDFTC4,USJI19710094
Suzanne,Leonard Cohen,1967,2L93TdW2GMue1H2zlkt30F,USSM16701039
Girls Just Want to Have Fun,Cyndi Lauper,1983,4y1LsJpmMti1PfRQV9AWWe,USSM18300548
Goodnight Saigon,Billy Joel,1985,0ZWYwiWvH6fjRo2ie519Sj,USSM18100396
Some Say,Nea,2019,4poybupy26pTWPr9zY1i7h,SEBGA1902650
Can't Buy Me Love,The Beatles Greatest Hits Performed By The Frank Berman Band,2010,6w0ZI7XTlUq9fsrNLxfjNX,TCAAT1038318
Heart Of Glass,Blondie,2006,41AE8ODX2JETBCa6muhSLY,USCH37900017
Live While We're Young,One Direction,2012,6Vh03bkEfXqekWp7Y1UBRb,GBHMU1200210
The A Team,Ed Sheeran,2011,1VdZ0vKfR5jneCmWIUAMxK,GBAHS1100095
MMMBop,Hanson,2005,1reVP49LT6RsV6kYY9lTZz,USMR19786791
you broke me first,Tate McRae,2021,4l0RmWt52FxpVxMNni6i63,USRC12000832
This Is Not America (with The Pat Metheny Group) - 2014 Remaster,"David Bowie, Pat Metheny Group",2014,3swiDsJoKHqkmd1Ty0eQ9o,USJT11400020
Gasolina,Daddy Yankee,2004,228BxWXUYQPJrJYHDLOHkj,QM6N21759342
Everywhere,Michelle Branch,2001,1u0l8zWpQeMYStFkc2mLD7,USMV20100080
True - 2003 Remaster,Spandau Ballet,1983,10I09MLZCY4pK37XxAfkw0,GBAYK0200008
Candy Shop,"50 Cent, Olivia",2005,5D2mYZuzcgjpchVY1pmTPh,USIR10500072
Suddenly I See,KT Tunstall,2005,5p9XWUdvbUzmPCukOmwoU3,GBGLM0400069
The Way It Is,Bruce Hornsby and the Range,1986,6V50MyHPGhEmwYu0Wdyf0t,USRC18507944
Rise,"Jonas Blue, Jack & Jack",2018,5ZSl6gDoV6bPPxzmLeneV9,GBUM71802109
PILLOWTALK,ZAYN,2016,0PDUDa38GO8lMxLCRc4lL1,USRC11600042
Don't Let Go (Love),En Vogue,1997,06TuMCjDEYjTOJScCRzmjf,USEW19605702
Tsunami - Radio Edit,"DVBBS, Borgeous",2013,04bQwUsZXNj8iFPg67orvF,NLWV71300031
Dilemma (feat. Kelly Rowland),"Nelly, Kelly Rowland",2002,14MgTooapmJdLlEMAr2zAM,USSM10211190
Rapper's Delight,The Sugarhill Gang,2010,2XbwFs07dfm2MGQuYmRMZT,GBUM71021600
A Boy Named Sue,Johnny Cash,2011,6lVmMpWAYOoRVOYxrkD0Qh,USA371582279
Torn,Natalie Imbruglia,1997,1Jaah2tmN9Hv81A87KZ1MU,GBARL9700412
Cupid's Chokehold / Breakfast in America - Radio Mix,Gym Class Heroes,2007,6ajyEEzWZbw8ycDcJAN099,USAT20621892
Lonely,Akon,2005,4v7DCN09hgXkKazefkznDQ,USUR10400235
"Take Me Home, Country Roads - Original Version",John Denver,1971,1YYhDizHx7PnDhAhko6cDS,USRC11100481
Burn,Ellie Goulding,2014,2GgxS8bUT5G25QJTsfSv0R,GBUM71303482
Believe,Cher,1998,2goLsvvODILDzeeiT4dAoR,GBAHT9803002
Untitled (How Does It Feel),D'Angelo,2000,4oPNN7syJYSjzDhRerF966,USVI29900212
Tonight,New Kids On The Block,1990,2QqbBVwpyJn7SL7thga35w,USSM19917888
Run,OneRepublic,2021,2UbVnbE5FH6008mAm6Mmgw,USUM72004315
Holding Back the Years - 2008 Remaster,Simply Red,1985,1yg7fwwYmx9DQ2TdXUmfpJ,GBCRL0800119
All Good Things (Come To An End),Nelly Furtado,2006,6kEpjptnAwt11Atr4cEMe1,USUM70603372
You Make Me Feel (Mighty Real),Sylvester,1978,0RnCUYXa7jhgTXtiMXF2PQ,USC4R2002968
Airplanes (feat. Hayley Williams of Paramore),"B.o.B, Hayley Williams",2010,1QnvpPFP4Q3FHbDchqWiWy,USAT21000477
She Wants To Move,N.E.R.D,2004,4Vqd7MuPVrciqRS3EzhKWb,USVI20400016
When Doves Cry,Prince,1984,6sby78fghipoXHQLeeZFFH,USWB10001877
Hey There Delilah,Plain White T's,2005,4RCWB3V8V0dignt99LZ8vH,US5260507213
"thank u, next",Ariana Grande,2019,3e9HZxeyfWwjeyPAMmWSSQ,USUM71819361
I Won't Give Up,Jason Mraz,2012,53QF56cjZA9RTuuMZDrSA6,USEE11100768
Sleeping Satellite,Tasmin Archer,1992,3WSyYBhLZRLbQo2tJgFvSR,GBAYE9200052
greedy,Tate McRae,2023,3rUGC1vUpkDG9CZFHMur1t,USRC12301932
Blue Bayou,Roy Orbison,1963,26p6GNIQfv9koDVD4rTouu,USSM19805297
That's Amore,Dean Martin,2009,6GYqOflskcZxPj8rkTZkOy,USCA20100849
Stargazing,Myles Smith,2024,3Vr3zh0r7ALn8VLqCiRR10,GBARL2400510
