title,artist,estimated_year,spotify_track_id,isrc
Hey Ya!,Outkast,2003,2PpruBYCo4H7WOBJ7Q2EwM,USAR10300924
You're So Vain,Carly Simon,1972,2DnJjbjNTV9Nd5NOa1KGba,USEE19900883
Everyday People,Sly & The Family Stone,1969,4ZVZBc5xvMyV3WzWktn8i7,USSM19913826
How Much Is The Fish?,Scooter,2013,1H61DWGuD5nk6ZAm6Jb92B,DEN061302559
María,Ricky Martin,2013,3jkNt5kbIFmKqlry1bzs5F,MXF149500003
Stressed Out,Twenty One Pilots,2015,3CRDbSIZ4r5MsZ0YwxuEkn,USAT21500597
Solo (feat. Demi Lovato),"Clean Bandit, Demi Lovato",2018,6kPJZM97LwdG9QIsT7khp6,GBAHS1800328
SOS,Rihanna,2006,30cSNer6TV8x2utjULVeQ5,USUM70507379
Shake It Off,Taylor Swift,2014,0cqRj7pUJDkTCEsJkx8snD,USCJY1431349
Kylie,Akcent,2006,1zhUaodzu43qKwK0idP6IA,ROROT0500101
Shape of You,Ed Sheeran,2017,7qiZfU4dY1lWllzX7mPBI3,GBAHS1600463
Sussudio - 2016 Remaster,Phil Collins,1985,4qM461TqtpnP4GLRIXwEnW,USRH11600243
"Poupée de cire, poupée de son",France Gall,2002,5kLCC1MMxOACV632KrSAS3,FRZ026500100
Iris,The Goo Goo Dolls,1998,6Qyc6fS4DsZjB2mRW9DsQs,USWB19800160
Dirty Diana,Michael Jackson,2003,6JZYMxvcoeLD4IifJPvDux,USSM19909072
bad guy,Billie Eilish,2019,2Fxmhks0bxGSBdJ92vM42m,USUM71900764
La Cumbia,Sailor,1996,6rcSwxdJ4syStEmQZwiNch,DKABA1001531
Tomorrow People,Ziggy Marley & The Melody Makers,1988,07QZEz7d4OS6vmS1iiwJCc,USVI28800002
High Hopes,Panic! At The Disco,2018,1rqqCSm0Qe4I9rUvWncaom,USAT21801174
Think,Aretha Franklin,1968,4yQw7FR9lcvL6RHtegbJBh,USAT20801206
Sun Is Shining - De Luxe Edit,Funkstar De Luxe,1999,1Fka6XCbSxs4ElXQOe28xf,DKUCA1410062
Mambo No. 5 (a Little Bit of...),Lou Bega,1999,6x4tKaOzfNJpEJHySoiJcs,DEH259900010
Heatwave,Martha Reeves & The Vandellas,2013,3Cbh1EJ6OYAPkkNRuTIz6T,USUM71301905
