title,artist,estimated_year,spotify_track_id,isrc
Mr. Saxobeat - Radio Edit,Alexandra Stan,2011,3LWDPEXEaLBRGNLbdcbwBR,ROCRP1002864
Informer,Snow,1993,2LjiPAQOVazT8sRyXL3XRs,USEW19300006
Pretty Fly (For A White Guy),The Offspring,1998,3SFXsFpeGmBTtQvKiwYMDA,USSM19804199
Don't Worry (with Ray Dalton) - Radio Edit,"Madcon, Ray Dalton",2015,63CSozvYUEudPp12679UVF,NO5281501010
Sexy And I Know It,LMFAO,2013,0KXcsCinixGmfcXjBqfEis,USUM71108090
Everybody's Free (To Feel Good),Rozalla,2010,4rkiST7hsHEuU5EMvApemD,GBBLG0400723
Go West - Original Version 1979,Village People,1979,0SdfUMRHhcjxrMv5d9V1UP,FR6V80878841
Ich fühl' mich Disco,Christian Steiffen,2013,2zUKhXh78KzEnC7NzigNjn,DEA621301036
We Will Rock You - Remastered 2011,Queen,1977,4pbJqGIASGPr0ZpGpnWkDn,GBUM71029618
Disco Inferno,The Trammps,1976,5jUA1njy3h6ynHLvPdEVHt,USAT27600009
Holding On,Leony,2023,6YexWyp9s0V0w1uGhtITsd,DEN062300006
Crying At the Discoteque,Alcatraz,2012,5UcMexhqzhHXwGvYuA6kVj,DEZ921200553
Fascination,Alphabeat,2008,5AKQ1JHezaXDmN5SyMSpEr,DKBR70704104
Don't Be So Shy - Filatov & Karas Remix,"Imany, Filatov & Karas",2016,00vk0sEfb6mr2ehwSw0Uhn,RUA591500339
Cheerleader (Felix Jaehn Remix) - Radio Edit,"OMI, felix jaehn",2015,4fTHdMTq0Znl3djLI1Typn,USUS11202574
Keep On Movin',"Five, Steve Mac",1999,0mrU1w2UMIZnR2I6oguwGz,GBARL9900105
Disco Pogo,Die Atzen,2019,1v5ux3K8vE1CWxDa0PVyGu,DEN060900695
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,2016,0x93VOS1AOKUgJkZjcG1sh,USRC11600876
The Rhythm of the Night,Corona,1994,0ofMkI3jzmGCElAOgOLeo3,ITA199800041
"I Like To Move It (feat. The Mad Stuntman) - Erick ""More"" Album Mix","Reel 2 Real, The Mad Stuntman, Erick Morillo",1994,6dHTkQYY3zdR9i9Nj0IGVW,QMRSZ1800990
