title,artist,current_mb_year,spotify_year,discogs_year,listenbrainz_recording_mbid,listenbrainz_recording_name,listenbrainz_release_mbid,listenbrainz_release_name,status,error
Zwei Mädchen aus Germany,Paul Anka,2001,2016,1964,c1fcb464-6085-4466-b8e1-cd9cdf45c52d,Zwei Mädchen aus Germany,76d1fd4d-8e48-4690-940a-8b257cac3c21,Ein Sonny Boy und eine kleine Signorina,ok,
It's a Real Good Feeling,"Peter Kent, Luisa Fernandez",2010,2000,,3a7d85fa-ba3f-4437-abb8-ac31048d73d4,It’s a Real Good Feeling,1090eb1c-7524-4b9e-9273-f6e7c7aad5b1,I Feel Good,ok,
I Want To Break Free,Queen,2018,2018,,970170b6-9719-497b-95f5-099410075b50,I Want to Break Free,bb918b7b-021f-4cf9-94a2-460636bca89b,Bohemian Rhapsody: The Original Soundtrack,ok,
Sailing,Rod Stewart,2008,1975,1975,6f379c0e-82a9-450c-8bc4-5cbae9182866,Sailing,8ce5f0d7-c8c1-3685-a94e-9a501b63d354,Atlantic Crossing,ok,
Boys - Summertime Love,Sabrina,2026,1988,1987,02727dab-4efa-4da1-94db-e31faeff6a39,Boys (Summer Time Love),ce75eafb-6168-4b2b-a3d6-e0547214826a,Sabrina,ok,
Played-A-Live (The Bongo Song) - Radio Edit,Safri Duo,2005,2005,2002,c73f45f8-4822-4619-a302-b00911c6f243,Played-A-Live (The Bongo Song) (radio edit),b8451c34-d1a4-4745-9cda-5bf74c9dc2e4,Played-A-Live (The Bongo Song),ok,
Smooth (feat. Rob Thomas),"Santana, Rob Thomas",1999,1999,,93af7ccf-22d1-44b1-9757-bc17016979a7,Smooth,e89db478-8f15-4cd8-8d2d-13ca208d78d7,Corazón: Live From México - Live It to Believe It,ok,
Chocolate (Choco Choco) - Single Version,Soul Control,2004,2020,2004,3786759e-76ec-4adb-adcf-d9cd4a46b0be,Chocolate (choco Choco) (single version),a69b4332-fb47-4da3-bf85-0dc7174b785c,Chocolate (Choco Choco),ok,
Get It On,T. Rex,1971,1971,,b33fd2b7-b06d-4d6f-a065-18f7bbc7bbc9,Get It On,dab6bd8e-7c6d-4828-9930-98061aef527e,Electric Warrior,ok,
Tacata,Tacabro,2012,2013,2012,eb5663f8-c3de-4b20-8087-da18e061d2cf,Tacata',3a241f40-9827-4ce3-9075-a0d4a8fa0df1,Ritmo de La Calle,ok,
Seasons in the Sun,Terry Jacks,1973,1974,,4a708ce4-740e-4d97-a25b-8e9c9e88caa5,Seasons in the Sun,f14cb1f9-e6db-4679-9330-dbc4ca8d95f4,Seasons in the Sun (Expanded Edition),ok,
Here Comes The Sun - Remastered 2009,The Beatles,1969,1969,,,,,,no_match,
Let It Be - Remastered 2009,The Beatles,1970,1970,,881ea822-c5b6-4c1e-b01d-ae2c058984d7,Let It Be (Remastered 2009),b0d3e068-90dd-4129-8768-d1f42f66d995,Now That’s What I Call Winter Anthems,ok,
You Really Got Me,The Kinks,1964,1964,,7491cee5-32f2-4d5e-82d1-9823418e38fb,You Really Got Me,4df4fcae-8d23-4c75-85b6-7c9f53831f1f,Kinks (deluxe),ok,
"I'll Be There for You (Theme from ""Friends')",The Rembrandts,1995,1995,,,,,,error,http_400
Stop! In The Name Of Love,The Supremes,1965,1965,,f3eeea0d-5622-4904-b8f9-582cdd2d5c68,Stop! In the Name of Love,f099dd43-0031-3012-8655-73c711bc531b,At the Copa,ok,
New York-Rio-Tokyo,Trio Rio,1986,1986,,b061a7cb-1c75-4766-9949-af0ba12d6819,New York – Rio – Tokyo,5951745e-53c5-4ff0-9c1b-b8865f5ed73f,Trio Rio,ok,
