title,artist,csv_year,mb_year,mb_year_source,diff,spotify_track_id,spotify_match_name,spotify_match_artist,match_method,similarity_score,isrc,spotify_found,final_year
Holiday Rap - Version 1986,MC Miker & DJ Sven,2012,1986,musicbrainz,26,2wCgOxYof67qXam24a3pHz,Holiday Rap - Version 1986,MC Miker & DJ Sven,playlist_import,,NLE320400069,true,1986
Moonlight Shadow,Mike Oldfield,2009,1983,musicbrainz,26,4WpmwEdc4RBos8W8icSSxW,Moonlight Shadow,Mike Oldfield,playlist_import,,GBAAA8300001,true,1983
Summer In the City,Joe Cocker,2019,1994,musicbrainz,25,4JaAu7X4zqWols837Myn5X,Summer In the City,Joe Cocker,playlist_import,,USCA29400204,true,1994
Girl You Know It's True,Milli Vanilli,2013,1988,musicbrainz,25,0C7dYeCLF6ukChtW64UNge,Girl You Know It's True,Milli Vanilli,playlist_import,,DEC738800004,true,1988
Bailando,Loona,2020,1995,musicbrainz,25,0oxOXYVVZ7vDknU6kagLwO,Bailando,Loona,playlist_import,,NLJ2Y2000008,true,1995
So schmeckt der Sommer,Edward Reekers,2019,1995,musicbrainz,24,0ftIaUx27vc9K0ztdiZgHf,So schmeckt der Sommer,Edward Reekers,playlist_import,,DEF069516410,true,1995
Am Tag als Conny Kramer starb,Juliane Werding,1996,1972,musicbrainz,24,7kTHUVnGMMOHW1CLdgvzui,Am Tag als Conny Kramer starb,Juliane Werding,playlist_import,,DEC737100002,true,1972
Wunder gibt es immer wieder,Katja Ebstein,1994,1970,musicbrainz,24,68pun2nSn33MONTnLYKgpm,Wunder gibt es immer wieder,Katja Ebstein,playlist_import,,DEA817000006,true,1970
The Girl From Ipanema - Single Version,"Stan Getz, João Gilberto, Astrud Gilberto, Antônio Carlos Jobim",1964,1986,musicbrainz,22,4qGfJb2KByjvzrwo8HNibg,The Girl From Ipanema - Single Version,"Stan Getz, João Gilberto, Astrud Gilberto, Antônio Carlos Jobim",playlist_import,,USUMG0000425,true,1964
Like Ice in the Sunshine,Beagle Music,1985,2007,musicbrainz,22,0UNzSO6Ahn3MQ8izYLwc5K,Like Ice in the Sunshine,Beagle Music,playlist_import,,DEP551600193,true,1985
Don't Leave Me This Way,Thelma Houston,1998,1976,musicbrainz,22,4Af8yzidDPc520TFd4TmkE,Don't Leave Me This Way,Thelma Houston,playlist_import,,USMO17600547,true,1976
Music,John Miles,1998,1976,musicbrainz,22,2oXchyEBxQBe8vH6iFgbv0,Music,John Miles,playlist_import,,GBF077620010,true,1976
Flying Through the Air,Oliver Onions,1994,1973,musicbrainz,21,1PEZiGU255hLkwyn5CwHqj,Flying Through the Air,Oliver Onions,playlist_import,,DEH840501531,true,1973
Miss California - Radio Version,Dante Thomas,2021,2000,musicbrainz,21,7ct57a8zA6DTc8Cz2QIFIg,Miss California - Radio Version,Dante Thomas,playlist_import,,USEW20000324,true,2000
No Limit,2 Unlimited,2014,1993,musicbrainz,21,1hGvGM76KOX6tpAyaHB0au,No Limit,2 Unlimited,playlist_import,,BEAA19507007,true,1993
