title,artist,estimated_year,spotify_track_id,isrc
Hot In Herre,Nelly,2002,3hpUL1gDZWiz8k4DtYhZsS,USUR10200252
Be My Lover,La Bouche,2003,3vSn1frPgFcRXrjWOfhMLl,DED160200012
No Doubt About It,Hot Chocolate,1987,1XcyciZOU2UcFgvSlFazeW,GBAYE8000032
Guten Morgen Sonnenschein,Nana Mouskouri,1977,5lpXFKgD6PeT6endUq5EX9,CH0527780010
Dance Little Birdie,De Electronica's,1980,5WIWTRAfxVY5mvRw4cdb0c,NLA342200075
Like Ice in the Sunshine,Beagle Music,1985,0UNzSO6Ahn3MQ8izYLwc5K,DEP551600193
It's My Life,Dr. Alban,1992,4539Tbm6Rt5BaNKXJJj9RH,DEA819200287
Blondes Wunder,Bernhard Brink,2001,6Nrs5TM730JUEp44XKOWqu,DEA600100316
The Rhythm of the Night,Corona,1994,0ofMkI3jzmGCElAOgOLeo3,ITA199800041
Seasons in the Sun,Terry Jacks,1974,7pGMRy91RcQT9oHdPgYz3A,USAR17400171
Nur Noch Schuhe An!,"Mickie Krause, Willi Herren",2012,2Fo33Bf61uSKCtFmTcgxuV,DEC611200301
Sexy Eis,Bürger Lars Dietrich,1996,76UofYbCEIpOfu12Ls1kPt,DEA619650050
It Feels So Good,Sonique,2000,4Y8q64VnhD0vFYy9g2WFpi,USUR10300602
Ain't Nobody (Loves Me Better) (feat. Jasmine Thompson),"felix jaehn, Jasmine Thompson",2018,3c8iiZGfEammKJuWTErE5x,DEUM71500425
Tacata,Tacabro,2013,6EhPXpRYkwGwg8lx3XiGTI,ITV951100211
Scatman's World,Scatman John,1995,6dugx9WBSS8TDxbKqp9zmj,DKELA9610002
Moonlight Shadow,Mike Oldfield,2009,4WpmwEdc4RBos8W8icSSxW,GBAAA8300001
Waves,Mr. Probz,2013,3s8GJ1A9ujxsKcLaJ2wY7Q,TCABN1366256
Rosemarie,Hubert Kah,1982,4LYvl2jiB2EkCpZzTA8vxS,DEF068200820
Fade To Grey,Visage,1980,3yobQNuKVJ62WDU7h725Fu,USPR38080067
Solo Para Ti,"Alvaro Soler, Topic",2022,2uAgZ0PelSImQe3BME9CiT,DEUM72201943
