title,artist,estimated_year,spotify_track_id,isrc,spotify_album_name,spotify_album_type,spotify_album_release_date,spotify_duration_ms,spotify_album_artist,spotify_track_number,spotify_disc_number
Billie Jean,Michael Jackson,2008,5ChkMS8OtdzJeqyybCc9R5,USSM19902991,Thriller 25 Super Deluxe Edition,album,2008-02-08,293826,Michael Jackson,6,1
What You Waiting For?,Gwen Stefani,2004,0ny5zITdmyNwyTPVzRGscU,USIR10400692,Love. Angel. Music. Baby.,album,2004-11-12,221226,Gwen Stefani,1,1
Freed From Desire,"Gala, Molella, Phil Jay",1997,3u5N55tHf7hXATSQrjBh2q,ITA179700143,Come Into My Life (The Album),album,1997-11-17,213394,Gala,10,1
Dynamite,Taio Cruz,2010,2CEgGE6aESpnmtfiZwYlbV,GBUM71003721,The Rokstarr Hits Collection,compilation,2010-01-01,202613,Taio Cruz,1,1
It's My Party,Lesley Gore,1963,1Pq47iFLC5U7j8xeNiNcuS,USPR36205231,I'll Cry If I Want To,album,1963-06-01,140000,Lesley Gore,1,1
Niebo było różowe,Kaśka Sochacka,2021,4srUcUkIP3NejBuRvQz3Gv,PLI364579540,Ministory,album,2021-11-26,254383,Kaśka Sochacka,5,1
Być dla kogoś,"Kuba Jurzyk, Bartek Królak",2015,3qV7Fk55HIbjhJKZXTYYLc,FR2X42175890,Być dla kogoś,single,2015-11-12,242975,"Kuba Jurzyk, Bartek Królak",1,1
Part-Time Lover,Stevie Wonder,1985,0Dm43YLUlGdePpSbI1ct8h,USMO18500543,In Square Circle,album,1985-09-13,252560,Stevie Wonder,1,1
September,"Earth, Wind & Fire",1978,2grjqo0Frpf2okIBiifQKs,USSM17800845,"The Best Of Earth, Wind & Fire Vol. 1",compilation,1978-11-23,215005,"Earth, Wind & Fire",7,1
Bad Romance,Lady Gaga,2009,0SiywuOBRcynK0uKGWdCnn,USUM70918596,The Fame Monster (Deluxe Edition),album,2009-11-05,294573,Lady Gaga,1,1
Baśka,Wilki,2003,5B30jIcaGzKSRpQIxfKOXL,PLA550200024,4,album,2003,215400,Wilki,1,1
Miłość w Zakopanem,Sławomir,2017,7meNfXvVQYkqD95KJYDqjO,PLN091700001,The Greatest Hits,album,2017-04-07,225481,Sławomir,4,1
