title,artist,estimated_year,spotify_track_id,isrc,spotify_album_name,spotify_album_type,spotify_album_release_date,spotify_duration_ms,spotify_album_artist,spotify_track_number,spotify_disc_number
Alone In A Room,Asking Alexandria,2017,5Gw8owErJLfkNxWCSwPQKJ,USYFZ1791001,Asking Alexandria,album,2017-12-15,245861,Asking Alexandria,1,1
Go Your Own Way,Fleetwood Mac,1988,15rjQH7nTcTomKwfVMd4xl,USWB19900181,Greatest Hits,compilation,1988-11-22,218400,Fleetwood Mac,3,1
American Woman,The Guess Who,2012,3QKGkxQnLTo3FWUTNJZlYH,GBQRF1113026,American Woman,album,2012-03-06,231835,The Guess Who,1,1
Heat Of The Moment,Asia,1982,1nmZ8yqKkfooOuYvtFctDp,USGF18200801,Asia,album,1982-03-08,227893,Asia,1,1
Juke Box Hero,Foreigner,1981,00qOE7OjRl0BpYiCiweZB2,USAT20803006,4 (Expanded),album,1981,259799,Foreigner,2,1
The Devil's Bleeding Crown,Volbeat,2016,3TjQAc2PzWzlSDrnq61J1y,DKNE11600101,Seal The Deal & Let's Boogie (Deluxe),album,2016-06-03,238653,Volbeat,1,1
Songs für Liam,Kraftklub,2012,2isyujVLDSr4lYhIo7qCRw,DEUM71104128,Mit K,album,2012-01-01,193973,Kraftklub,7,1
Chop Suey!,System Of A Down,2001,2DlHlPMa4M17kufBvI2lEN,USSM10107256,Toxicity,album,2001-09-04,210240,System Of A Down,6,1
Schrei nach Liebe,Die Ärzte,1993,4P4PHxZQ1FcwQKKnfEPsAZ,DEZ650506930,Die Bestie in Menschengestalt,album,1993-10-04,252600,Die Ärzte,2,1
Teenage Dirtbag,Wheatus,2000,3LI4MmibTkXH5cGpCGZgyw,USSM10008431,"Songs From Dawson's Creek, Vol. II",compilation,2000-09-29,241666,Various Artists,10,1
Here I Go Again,Whitesnake,1994,1tQ5TSr1tyeQUbHKBee0jv,GB01A8700011,Whitesnake's Greatest Hits,compilation,1994-07-04,232800,Whitesnake,2,1
Hail to the King,Avenged Sevenfold,2013,5anCkDvJ17aznvK5TED5uo,USWB11302191,Hail to the King,album,2013-08-20,305906,Avenged Sevenfold,2,1
Sleepwalking,Bring Me The Horizon,2013,0gchQwxmBWj5no8NJ8b2yH,GBARL1202418,Sempiternal (Expanded Edition),album,2013-04-01,230090,Bring Me The Horizon,4,1
Eye of the Tiger,Survivor,1982,2HHtWyy5CgaQbC7XSoOb0e,USVR19300001,Eye Of The Tiger,album,1982,243773,Survivor,1,1
"Oh, Pretty Woman",Roy Orbison,2006,52HAHV1j93s5B8GoTNI7DJ,USSM16401575,The Essential Roy Orbison,compilation,2006-03-28,176933,Roy Orbison,21,1
The Final Countdown,Europe,1986,3MrRksHupTVEQ7YbA0FsZK,USSM18600196,The Final Countdown (Expanded Edition),album,1986,310333,Europe,1,1
Rock Around The Clock,Bill Haley & His Comets,1968,34AmZ4PMz9iNZVp9AMIGZj,SEBFO6804010,Biggest Hits,compilation,1968-01-01,137000,Bill Haley & His Comets,1,1
Death by Rock and Roll,The Pretty Reckless,2021,18DJQsejI5e1ZwO2wyuP2g,US5262023639,Death by Rock and Roll,album,2021-02-12,234476,The Pretty Reckless,1,1
Interstate Love Song,Stone Temple Pilots,2003,600s08VdbjiyAjDGDjYSFI,USAT20181162,Thank You,compilation,2003-11-10,193613,Stone Temple Pilots,10,1
No One Like You,Scorpions,2011,5hVepr5CHiTGtJY5bP4i5n,DEE861101518,Comeblack,album,2011-11-07,246533,Scorpions,2,1
Balls to the Wall,Accept,1983,28sMmBCmfHoy6NjZnovEYG,USSM18400165,Balls To The Wall,album,1983,342600,Accept,1,1
Carry on Wayward Son,Kansas,1976,4DMKwE2E2iYDKY01C335Uw,USSM17600874,Leftoverture (Expanded Edition),album,1976,323000,Kansas,1,1
Welcome to the Black Parade,My Chemical Romance,2006,5wQnmLuC1W7ATsArWACrgW,USRE10602613,The Black Parade,album,2006-10-20,311106,My Chemical Romance,5,1
Maybellene,Chuck Berry,1959,3SQhmctWreNM0X6Zkm2K5R,USMC15519962,Berry Is On Top,album,1959-07-01,143240,Chuck Berry,3,1
I Hate Myself for Loving You,Joan Jett & the Blackhearts,1988,2HXixVqzzm9rEUIMAWzshl,USSM10021818,Up Your Alley,album,1988-05-23,246800,Joan Jett & the Blackhearts,1,1
Animals,Architects,2021,5ofoB8PFmocBXFBEWVb6Vz,USEP42058010,For Those That Wish To Exist,album,2021-02-26,244364,Architects,10,1
I Will Not Bow,Breaking Benjamin,2009,2yXyz4NLTZx9CLdXfLTp5E,USHR10924529,Dear Agony,album,2009-01-01,216733,Breaking Benjamin,2,1
Freak On a Leash,Korn,1998,6W21LNLz9Sw7sUSNWMSHRu,USSM19801755,Follow The Leader,album,1998-08-18,255729,Korn,2,1
Dance Macabre,Ghost,2018,4pIKFpwflOdhYNIRmPTj3E,USC4R1802371,Prequelle,album,2018-06-01,219720,Ghost,6,1
What I Got,Sublime,1996,3B4q6KbHbGV51HO3GznBFF,USGA19649251,Sublime,album,1996-07-30,170906,Sublime,2,1
Wake up Little Susie,The Everly Brothers,1964,11fNLqDB47gMKj7BHhR2Qr,USWB19903263,The Very Best of The Everly Brothers,compilation,1964-08-01,123520,The Everly Brothers,3,1
I Wanna Rock,Twisted Sister,1984,70Z9t1qhytWtG4cCmmi7mU,USAT20000551,Stay Hungry,album,1984-05-10,179760,Twisted Sister,5,1
Black Hole Sun,Soundgarden,1994,2EoOZnxNgtmZaD8uUmz2nD,USAM19400007,Superunknown (Deluxe Edition),compilation,1994-03-09,318586,Soundgarden,7,1
Bad Medicine,Bon Jovi,1988,72hcFp4tYkd3dbNA9dZ3Pv,USPR39402228,New Jersey (Deluxe Edition),album,1988-09-13,316706,Bon Jovi,2,1
Rock And Roll All Nite,KISS,1975,0fCWbJq1hagsRgShtn6gIU,USPR37509157,Dressed To Kill (Remastered Version),album,1975-03-19,168840,KISS,10,1
Mr. Jones,Counting Crows,1993,5DiXcVovI0FcY2s0icWWUu,USIR10000287,August And Everything After,album,1993-09-14,272293,Counting Crows,3,1
Bodies,Drowning Pool,2001,7CpbhqKUedOIrcvc94p60Y,USWU30006502,Sinner,album,2001-01-01,201960,Drowning Pool,2,1
Stinkfist,TOOL,1996,0pwObEOHolQZSldJ2q1wpy,USZE19600081,Ænima,album,1996-09-17,311293,TOOL,1,1
Run For Cover,The Killers,2017,5NAiPIEzxAexFE3ucV18Q8,USUM71707343,Wonderful Wonderful,album,2017-09-22,222146,The Killers,5,1
Kryptonite,3 Doors Down,2000,6ZOBP3NvffbU4SZcrnt1k6,USUR19980187,The Better Life,album,2000,233933,3 Doors Down,1,1
Free Bird,Lynyrd Skynyrd,1973,5EWPGh7jbTNO2wakv8LjUI,USMC17301722,Pronounced' Leh-'Nerd 'Skin-'Nerd,album,1973-01-01,547106,Lynyrd Skynyrd,8,1
Howlin' for You,The Black Keys,2012,4yffABDkB5A9flvr9vQFck,USNO12000174,Brothers (Deluxe Remastered Anniversary Edition),album,2012-05-01,191956,The Black Keys,4,1
Master Of Puppets,Metallica,1986,2MuWTIM3b0YEAskbeeFE1i,QMKHM1600219,Master Of Puppets (Remastered),album,1986-03-03,515386,Metallica,2,1
The Kill (Bury Me),Thirty Seconds To Mars,2005,1p1nO35bbi4ZlQgjIA4oa4,USVI20500136,A Beautiful Lie,album,2005-08-30,231533,Thirty Seconds To Mars,3,1
Heart-Shaped Box,Nirvana,1993,11LmqTE2naFULdEP94AUBa,USGF19960703,In Utero (Deluxe Edition),album,1993-09-21,281160,Nirvana,3,1
Put Your Head On My Shoulder,Paul Anka,2000,2DpJ9T2RVRanZcYFHKOAfA,USRC10000600,Put Your Head On My Shoulder: The Very Best Of Paul Anka,compilation,2000-10-03,154733,Paul Anka,5,1
Should I Stay or Should I Go - Remastered,The Clash,1982,39shmbIHICJ2Wxnk1fPSdz,GBARL1200670,Combat Rock (Remastered),album,1982,188987,The Clash,3,1
Scar Tissue,Red Hot Chili Peppers,1999,1G391cbiT3v3Cywg8T7DM1,USWB19900674,Californication (Deluxe Edition),album,1999-06-08,215906,Red Hot Chili Peppers,3,1
Ace of Spades,Motörhead,1980,3CIOopLwvyMvXk97ZEksKO,GBAJE8000033,Ace of Spades (Expanded Edition),album,1980-11-08,168320,Motörhead,1,1
18 and Life,Skid Row,1989,3620P9KJS2PDebJ9ABFitc,USAT20901906,Skid Row,album,1989-01-24,229960,Skid Row,5,1
Green Onions,Booker T. & the M.G.'s,1962,4fQMGlCawbTkH9yPPZ49kP,USAT20000736,Green Onions,album,1962,176333,Booker T. & the M.G.'s,1,1
Iron Man,Black Sabbath,2016,74fURW8XNuLYHOvKmjA2XT,GBAJE7000085,The Ultimate Collection,compilation,2016-10-28,355306,Black Sabbath,3,1
The Summoning,Sleep Token,2023,5bG7kGH4z8hG2jJQLoyy0O,GBUM72200352,DYWTYLM,single,2023-04-20,395716,Sleep Token,5,1
Bulletproof,Godsmack,2018,4Pp7tPCBM9ywQexWvCz6iH,QMRSZ1703237,When Legends Rise,album,2018-04-27,177048,Godsmack,2,1
Hit the Road Jack,Ray Charles,2012,49fzPkBb3aOUWYRKaTWVhm,FR6V81229417,Georgia On My Mind,compilation,2012-02-23,118266,Ray Charles,2,1
Circle With Me,Spiritbox,2021,3FI0iAAAjmR31xpZEwbdys,QMRSZ2100664,Eternal Blue,album,2021-09-17,233880,Spiritbox,11,1
California Dreamin',The Mamas & The Papas,2001,1ZEOIhSn6BKErV59bIgn76,USMC16532697,All The Leaves Are Brown The Golden Era Collection,compilation,2001-08-28,160373,The Mamas & The Papas,7,1
Face Down,The Red Jumpsuit Apparatus,2006,4wzjNqjKAKDU82e8uMhzmr,USVI20600108,Don't You Fake It,album,2006-01-01,192000,The Red Jumpsuit Apparatus,4,1
R U Mine?,Arctic Monkeys,2013,2AT8iROs4FQueDv2c8q2KE,GBCEL1300363,AM,album,2013-09-09,201726,Arctic Monkeys,2,1
You Ain't Seen Nothing Yet,Bachman-Turner Overdrive,1974,0HOrDVS349XFcpCYsO2hAP,USPR39401742,Not Fragile,album,1974,234866,Bachman-Turner Overdrive,4,1
Run Through The Jungle,Creedence Clearwater Revival,1970,6J0AjzrYsPZrQtw6IjErhy,USC4R0817631,Cosmo's Factory (Expanded Edition),album,1970-07-25,184746,Creedence Clearwater Revival,6,1
Song #3,Stone Sour,2017,5jsDxDkJ1PqyYUWhDMr86B,NLA321700079,Hydrograd,album,2017-06-30,256533,Stone Sour,5,1
You're Going Down,SICK PUPPIES,2009,5FQXMRDSTkn9fowDJ3kZo8,USVI20900226,Tri-Polar (International Version),album,2009,187346,SICK PUPPIES,5,1
Born to Run,Bruce Springsteen,1975,6hTcuIQa0sxrrByu9wTD7s,USSM17500423,Born To Run,album,1975-08-25,269932,Bruce Springsteen,5,1
Centuries,Fall Out Boy,2015,04aAxqtGp5pv12UXAg4pkq,USUM71412644,American Beauty/American Psycho,album,2015-01-16,228360,Fall Out Boy,3,1
For What It's Worth,Buffalo Springfield,1966,1qRA5BS78u3gME0loMl9AA,USEE10170607,Buffalo Springfield,album,1966-12-05,153693,Buffalo Springfield,1,1
Epic,Faith No More,1989,4ReyTz0y3TGkX48wO3Llot,GBANC8900003,The Real Thing,album,1989,293653,Faith No More,2,1
Still Waiting,Sum 41,2002,0jqK7sGTLsHPkQrrcrGuKD,USIR20200792,Does This Look Infected?,album,2002-01-01,158733,Sum 41,4,1
Hotel California,Eagles,1976,1rh232CwAy3EDEWFJkwH88,GBSMU2679348,"Take It To The Summit (Houston, TX 16th Nov '76)",album,1976,421146,Eagles,1,1
No One Knows,Queens of the Stone Age,2002,6y20BV5L33R8YXM0YuI38N,USIR10211291,Songs For The Deaf,album,2002-01-01,278746,Queens of the Stone Age,2,1
Painkiller,Judas Priest,1990,0L7zm6afBEtrNKo6C6Gj08,GBBBN0102557,Painkiller,album,1990-09-26,365826,Judas Priest,1,1
Fight For Your Right,Beastie Boys,1986,5NLuC70kZQv8q34QyQa1DP,USDJ28600007,Licensed To Ill,album,1986-11-15,208653,Beastie Boys,7,1
I Write Sins Not Tragedies,Panic! At The Disco,2005,4bPQs0PHn4xbipzdPfn6du,US56V0507710,A Fever You Can't Sweat Out,album,2005-09-27,186634,Panic! At The Disco,10,1
Tears Don't Fall,Bullet For My Valentine,2005,7ln7o4q6y9h8qEc6hGrtr1,GBHQD0500017,The Poison,album,2005,348386,Bullet For My Valentine,4,1
Symphony Of Destruction,Megadeth,1992,51TG9W3y9qyO8BY5RXKgnZ,USCA20400616,Countdown To Extinction (Expanded Edition - Remastered),album,1992-07-14,246733,Megadeth,2,1
Bonnie & Clyde,Die Toten Hosen,1996,2hZAJcLnFGk6V50TiD7yzm,DEF240712435,Opium für's Volk (Deluxe-Edition mit Bonus-Tracks),album,1996,211733,Die Toten Hosen,9,1
My Own Worst Enemy,Lit,1999,33iv3wnGMrrDugd7GBso1z,USRC19808159,A Place In The Sun,album,1999-02-22,169026,Lit,2,1
"Burning Heart - From ""Rocky IV"" Soundtrack",Survivor,1985,2avaSeKHI5l4sLruVfLdi2,USVR19300003,Rocky IV,compilation,1985,230720,Various Artists,1,1
GOSSIP (feat. Tom Morello),"Måneskin, Tom Morello",2023,44Xyja7xYPlVC6v2CeweSi,ITB002200841,RUSH!,album,2023-01-20,168280,Måneskin,2,1
Plush,Stone Temple Pilots,1992,3jJZVeExYzVYiV6Y9Fl3DX,USAT29200016,Core,album,1992-09-29,310346,Stone Temple Pilots,9,1
Pour Some Sugar On Me,Def Leppard,1987,1aZLIbKEdsyqxyD6iNcrbA,GBF088790147,Hysteria,album,1987-08-03,267306,Def Leppard,5,1
I Stand Alone,Godsmack,2003,6eYUbXmncekAKMYZcsSkyD,USUR10111257,Faceless,album,2003-04-08,246040,Godsmack,5,1
Going Under,Evanescence,2003,3UygY7qW2cvG9Llkay6i1i,USWU30200108,Fallen,album,2003-03-04,214946,Evanescence,1,1
The Middle,Jimmy Eat World,2001,6GG73Jik4jUlQCkKg9JuGO,USDW10110256,Bleed American,album,2001-07-17,165853,Jimmy Eat World,3,1
Hound Dog,Elvis Presley,1958,64Ny7djQ6rNJspquof2KoX,USRC15602857,Elvis' Golden Records,compilation,1958-03-21,138948,Elvis Presley,1,1
Sk8er Boi,Avril Lavigne,2002,00Mb3DuaIH1kjrwOku9CGU,USAR10200229,Let Go,album,2002-06-04,204000,Avril Lavigne,3,1
Break on Through (To the Other Side),The Doors,1967,6ToM0uwxtPKo9CMpbPGYvM,USEE19900198,The Doors,album,1967-01-04,145866,The Doors,1,1
Surfin' U.S.A.,The Beach Boys,2012,2EPr9Wx7e1cpGEbNAtuN7x,USCA21201955,50 Big Ones: Greatest Hits,compilation,2012-01-01,150160,The Beach Boys,6,1
Need A Favor,Jelly Roll,2023,07on0OB2cdPt79IFsgdRUy,QMRSZ2203220,Whitsitt Chapel,album,2023-06-02,197400,Jelly Roll,11,1
The Emptiness Machine,Linkin Park,2024,2PnlsTsOTLE5jnBnNe2K0A,USWB12403464,The Emptiness Machine,single,2024-09-05,190427,Linkin Park,1,1
Cut the Cord,Shinedown,2015,4LFBVDJV0xpayUvquQVzhS,USAT21501541,Threat to Survival,album,2015-09-18,224596,Shinedown,2,1
Hurricane,I Prevail,2019,2GFwwTIVLjnOrtP7m9luHC,US5261923090,TRAUMA,album,2019-03-29,223173,I Prevail,8,1
Are You Gonna Be My Girl,Jet,2003,72zZfHPYx43shcP3eKkYi5,USEE10340526,Get Born (Deluxe Edition),album,2003-09-14,213800,Jet,2,1
American Idiot,Green Day,2004,6nTiIhLmQ3FWhvrGafw2zj,USRE10400888,American Idiot,album,2004-09-21,176346,Green Day,1,1
Hit Me With Your Best Shot,Pat Benatar,1980,0vOkmmJEtjuFZDzrQSFzEE,USCH38400009,Crimes Of Passion,album,1980-08-05,171266,Pat Benatar,4,1
Crazy Train,Ozzy Osbourne,2020,7ACxUo21jtTHzy7ZEV56vU,USSM11002845,Blizzard Of Ozz (40th Anniversary Expanded Edition),album,2020-09-18,293183,Ozzy Osbourne,2,1
I WANNA BE YOUR SLAVE,Måneskin,2021,4pt5fDVTg5GhEvEtlz9dKk,ITB002100115,Teatro d'ira - Vol. I,album,2021-03-19,173346,Måneskin,4,1
In the End,Linkin Park,2000,60a0Rd6pjrkxjPbaKzXjfq,USWB10002407,Hybrid Theory (Bonus Edition),album,2000-10-24,216880,Linkin Park,8,1
Even Flow,Pearl Jam,1991,6QewNVIDKdSl8Y3ycuHIei,USSM19100673,Ten,album,1991-08-27,292579,Pearl Jam,2,1
Black Betty,Ram Jam,1977,6kooDsorCpWVMGc994XjWN,USSM10211288,Ram Jam,album,1977-06-20,240335,Ram Jam,1,1
Detroit Rock City,KISS,1978,0PQ51hZtABYRaXNHkVpAfD,USPR37707201,Double Platinum (Remastered Version),compilation,1978-01-01,215933,KISS,13,1
