title,artist,estimated_year,spotify_track_id,isrc
Das ganze Leben ist ein Quiz,Hape Kerkeling,1999,14FSVZBZOcVTaOQwPEJ7qe,DEA819100005
Dicht im Flieger,Julian Sommer,2022,6sS77FZh2eJfYBsFUW6hjI,DEUM72201033
Lass die Sonne in dein Herz,Wind,2003,7sMd8AmgwoHgw674d2oQgB,DEN120301745
Ein bisschen Spaß muss sein,Roberto Blanco,2018,6qqUDmf0LFP7lFZODj6PWH,DEE867200087
Da Da Da ich lieb dich nicht du liebst mich nicht Aha Aha Aha - Lange Version,Trio,1996,4HCdu48LScraIfJ7Ik7EhE,DEF078202720
Scheiss drauf! (Mallorca ist nur einmal im Jahr),Peter Wackel,2013,3E4Sl55jfbru7BmCfh8pcu,DEEQ81300038
Mendocino,Michael Holm,1973,7lBO5RpWhr6yPUwWkXHsWf,DEA816900001
Zwei Senoritas,Sigrid & Marina,2010,0CECyQToxeHqXdylm1E3WK,ATV110857005
Ich vermiss' Dich... (wie die Hölle) - Radio Mix,Zlatko,2000,5qAtXePWHaJMSCjz2kMyeX,DEC730000180
Du schaffst das schon,KLUBBB3,2016,4eh0ZnjqYVs5RDc4UZ8pu6,DEUL31500007
Tanze mit mir in den Morgen - Schlager Party Mix,Gerhard Wendland,2007,4TFOBUQ9Vfm1nCfG07eedq,DEF076107020
Lass mi bei Dir sein,atlantis,1997,3znNv4cuLyXbs3eGdNRqfz,DEA609700486
Rote Lippen Soll Man Küssen - Lucky Lips - 1996 Remaster,Cliff Richard & The Shadows,2010,2z0ObRjCedb9HKxquvvpPO,GBAYE0700937
Ich brauch ein bisschen Glück,Andy Borg,1994,0YuNGTa3rYsayd8pjMLQsd,DEA609400129
Warum hast Du nicht nein gesagt,"Roland Kaiser, Maite Kelly",2014,4omRd4BJaHglIrmJeUttJl,DEA811400407
Bierkapitän,"Markus Becker, Bierkapitän",2019,3nm3zHhlOE7LZ4SdqPLhpI,DEA371900523
Glücksmoment,Prince Damien,2016,1QleddKv5OZcFSDvszJr20,DEUM71601386
Cordula Grün,Josh.,2018,483ykNWhSQXYprueXUMNeo,ATAT71802002
Der geilste Fehler,Marina Marx,2020,28ooNJCBh2MWbCVYhZ8aqx,DEA812000008
Regenbogenfarben,Kerstin Ott,2018,1L0zpRujG3Rgq7K1I8E3nD,DEUM71802793
Lovesong,Francine Jordi,2018,6h2phRX5aM4uLPZQv2Hulo,CH0831801310
Tanze Samba mit mir,Tony Holiday,1978,667HVkr7MavlBv2DhzQS3k,DEF067803940
Herz ist Trumpf (Dann rufst du an...),Trio,1996,2d3QIyikjmsaxNaKasGS1K,DEF078303220
"Viva Colonia (Da simmer dabei, dat is prima!)",Höhner,2004,4tNwc7jQ5eqWFGDlX8YBtT,DEA340202100
Königin der Nacht,Cordalis,2003,0BRoLVlLvbRmxZrluFNLmK,DEA760303503
Es ist geil ein Arschloch zu sein - Radio Version,"Christian, Bülent Aris",2001,7FalyYEX2URpR9CEYS8Z2W,DEC730000426
Männertango,Ella Endlich,2011,6zXpujCKpOye18GbdAq2lD,DEA621100440
Sieben Leben für dich,Maite Kelly,2016,3vMiVz4dMHyHVkWuduPTfj,DEUM71602605
Ich bin wer ich sein will (feat. Allessa),"Musikapostel, Allessa",2020,454AXybVbhF6TZeCo5lcc8,DEQS91901419
Wie kannst du mich bloss lieben,Andy Borg,2001,0Oz7TnVm5xNgvLx0xSREt3,DEA609900922
Wolke 7,"Wolkenfrei, Vanessa Mai",2015,1I14TXOgylN4gTuGkrNCYb,DEA811500533
Fiesta Mexicana,Rex Gildo,2003,4M6yJ0JjTbMW7DhBJ68heC,DEA817200003
Sonderzug nach Pankow,Udo Lindenberg & Das Panik-Orchester,1983,1vlzhoQJKTmEVDmSXcFT4a,DEF068205470
Bruttosozialprodukt,Geier Sturzflug,2008,5VQ8B15e6JHXk5Qi9h9inv,DEA818300013
Trödler Abraham (2007),Wolfram,2009,54S60M24fBCNOeMhOf3kA9,DEB170000846
Knutschen...ich kann nichts dafür,Linda Hesse,2014,0k6WvGNgeySmv1E0zU0Fni,DEQJ91401004
Ententanz (Ja wenn wir alle Englein wären),"Frank Zander, Fred Sonnenschein & seine Freunde",1997,6SqtV560bmCrZploVrOU6R,DEC489500200
Polonäse Blankenese,Gottlieb Wendehals,2010,68XLpAcKb8FFrQZluAqZrj,DEBH41000000
Schenk' mir diese eine Nacht,Brunner & Brunner,1993,1I1GRupqk0GHH3wVtEh8J5,DEA609300357
Sieben Fässer Wein,Roland Kaiser,1977,3Yl3rmMaXb4RoLTeEMI4jb,DEC737700003
Ich bin frei,Franziska Wiese,2016,6yBGQwgXk2sm8lPqdfCJjT,DEUM71600595
Sa-Lo-Me,Achim Reichel,1999,7xJhlT341yRS1w3nSGA4zq,DEAQ99902102
Aber sonst geht´s mir gut,Alex Parker,2006,2BU61yhRvTCbBrisuEzmZ9,DEW660611159
Radio Zuckerhut,Wind,2015,1RDC1U56ctXnfx2TtJlAkg,DEE530901981
Wenn du denkst du denkst dann denkst du nur du denkst,Juliane Werding,2001,3Xa3EjP8pOXH4J292BsFF8,DEC737500001
Goethe war gut,Rudi Carrell,2007,6iHumZN4HdYtg551LYLcvy,DEF457427623
Perfekte Welle,Juli,2004,2LV5joNDrsyuXEh4FBARVK,DEN120402022
An Der Nordseeküste,Klaus & Klaus,1984,7lg9reolractKDt8McON0K,DEZ650603615
Die Schwarze Barbara,Heino,2003,0Wrak3l8C5HzpGnrK98a1G,DEA349600898
Blau blüht der Enzian,Heino,2007,2ziPKwmyZeSpg2o4fc17cd,DEF458624314
300 PS (... Auto),EAV (Erste Allgemeine Verunsicherung),2008,4Lchc2OMQIlnaRLVN17N7C,DEA810500993
"Hey Boss, ich brauch mehr Geld",Gunter Gabriel,1994,0FHRffHaw2QJgmwW45U2hm,DEC737400028
Ciao D'Amore,Klostertaler,1998,0uV7yccuJBzpz2A9bYvVKD,DEA609800080
Solang wir lieben,Simone,2001,6nHQrTrXd0dyVb74VfsjxA,DEA600100363
Tür an Tür mit Alice,Howard Carpendale,2011,5xhHDc9Il8aUrAu4ijixDg,DEA349502729
Verlier sie nie,Michael Wendler,2008,2MUj5Lx28sD7lHZGJwczJ6,DEA810701154
Albany (feat. Roger Whittaker),"DJ Herzbeat, Roger Whittaker",2021,0LTsD9w7mj1d0L9TyJ4KXe,DEA812100077
"Einmal hin, einmal her",Sarah-Jane,2005,5UsoJzNF88QO4PdexDQLnR,ATV110541001
"Alles hat ein Ende, nur die Wurst hat zwei (Krause und Ruth)",Stephan Remmler,1986,5nl9DKN2UFt3cjefB0hNC8,DEF078602800
Viel zu oft,Simone,2003,6Olh0YrqtSRtPRqiJSqRhS,DEN120302273
Joana,Roland Kaiser,1984,4HRtevJUIf3h4vcc0LXL4Q,DEC739900861
Was geht hier ab,voXXclub,2022,4MfSqOz1Ua9hgZv3zNrkb0,DEUM72202884
Amsterdam,Axel Fischer,2018,2ikhi7JOn5Kug3tcUOUSBx,DET370824037
"Saufen morgens, mittags, abends",Ingo ohne Flamingo,2018,1ORfyWYhDPxCAIZ9Ce78A3,DEHY11700420
"Emmylou, Emmylou",Truck Stop,2015,06ZCaJlCf0uzyw1HDM7ngp,DETT81500229
