title,artist,estimated_year,spotify_track_id,isrc,spotify_album_name,spotify_album_type,spotify_album_release_date,spotify_duration_ms,spotify_album_artist,spotify_track_number,spotify_disc_number
Willst du,Alligatoah,2013,3FcqFCeCD6QRtRo6WGLCnC,DEQ121319219,Triebwerke,album,2013-08-02,218964,Alligatoah,5,1
Monet,"Alligatoah, Sido",2020,6a2dQM7ocTJoTVCXekPOHG,DEQ022010262,Monet,single,2020-10-16,186299,"Alligatoah, Sido",1,1
Mit dir schlafen,"Alligatoah, Esther Graf",2022,35KgkjUBqbU6haT6aEuDws,DEQ022117450,Rotz & Wasser,album,2022-03-25,199466,Alligatoah,2,1
Ein Problem mit Alkohol,Alligatoah,2018,0lIX2ce3jiQ0uQg5ABbAsX,DEQ021801378,"Schlaftabletten, Rotwein V",album,2018-09-14,239444,Alligatoah,2,1
Godzilla (feat. Juice WRLD),"Eminem, Juice WRLD",2020,7FIWs0pqAYbP91WWM0vlTQ,USUM72000788,Music To Be Murdered By,album,2020-01-17,210800,Eminem,7,1
Houdini,Eminem,2024,1CDQzbCz4KSQxHe7LMEgRM,USUG12403398,The Death of Slim Shady (Coup De Grâce),album,2024-07-12,227032,Eminem,11,1
Not Afraid,Eminem,2010,7Ie9W94M7OjPoZVV216Xus,USUM71011769,Recovery,album,2010-06-18,248133,Eminem,7,1
I Wanna Love You,"Akon, Snoop Dogg",2006,0CXVjQI9wsqaGeIARkkpYc,USUM70615284,Konvicted,album,2006-01-01,247066,Akon,4,1
One Dance,"Drake, Wizkid, Kyla",2016,1zi7xx7UVEFkmKfv06H8x0,USCM51600028,Views,album,2016-05-06,173986,Drake,12,1
Passionfruit,Drake,2017,5mCPDVBb16L4XQwDdbRUpz,USCM51700072,More Life,album,2017-03-18,298940,Drake,3,1
Madonna,"Bausa, Apache 207",2021,6a3kNt1UlUOapDKmEr3JzZ,DEA622000742,100 Pro,album,2021-02-26,195734,Bausa,3,1
VIP in der Psychiatrie,K.I.Z,2021,0b9cSSHeOuo2622idMdVTM,DECE72006588,Rap über Hass,album,2021-05-27,224160,K.I.Z,3,1
Frieden,K.I.Z,2024,42nE4FVxDjMf30g3fp7vDF,DEA622304113,Görlitzer Park,album,2024-06-21,304558,K.I.Z,6,1
Ariane,"K.I.Z, Nico K.I.Z",2015,5O6E87n0E2jkHv6yUNcNEe,DEUM71500715,Hurra die Welt geht unter,album,2015-07-10,300373,K.I.Z,7,1
Schwung in die Kiste,Die Orsons,2015,1d0LKskvREPlQfBanvabh8,DEUM71403809,What's Goes?,album,2015-03-06,242733,Die Orsons,6,1
Horst & Monika - Single Version,"Die Orsons, CRO",2012,4PkdsMPMUCo9ADHrQYFtHq,DEUM71202544,Das Chaos und Die Ordnung,album,2012-01-01,226320,Die Orsons,7,1
Powerade,"BHZ, SIRA, Ion Miles",2022,20l2YWgtEXAAAEzoWs3gkE,DEXK52200237,"In Liebe, Ion",album,2022-06-24,142400,"Ion Miles, BHZ",2,1
9 bis 9,"SIRA, Bausa, badchieff",2023,5YWu6dt50Nieq8qi572RF8,DEKF22300419,9 bis 9,single,2023-05-05,131549,"SIRA, Bausa, badchieff",1,1
