title,artist,estimated_year,spotify_track_id,isrc,spotify_album_name,spotify_album_type,spotify_album_release_date,spotify_duration_ms,spotify_album_artist,spotify_track_number,spotify_disc_number
Ententanz (Ja wenn wir alle Englein wären),"Frank Zander, Fred Sonnenschein & seine Freunde",1997,6SqtV560bmCrZploVrOU6R,DEC489500200,Die Hamsterparty,album,1997-07-14,180800,"Frank Zander, Fred Sonnenschein & seine Freunde",1,1
Polonäse Blankenese,Gottlieb Wendehals,2010,68XLpAcKb8FFrQZluAqZrj,DEBH41000000,Polonäse Blankenese,album,2010-04-09,249466,Gottlieb Wendehals,1,1
Schenk' mir diese eine Nacht,Brunner & Brunner,1993,1I1GRupqk0GHH3wVtEh8J5,DEA609300357,Darum lieb' ich Dich,album,1993-01-01,233026,Brunner & Brunner,1,1
Sieben Fässer Wein,Roland Kaiser,1977,3Yl3rmMaXb4RoLTeEMI4jb,DEC737700003,Nicht eine Stunde tut mir leid,album,1977,192426,Roland Kaiser,1,1
Ich bin frei,Franziska Wiese,2016,6yBGQwgXk2sm8lPqdfCJjT,DEUM71600595,Sinfonie der Träume,album,2016-07-22,225720,Franziska Wiese,5,1
Sa-Lo-Me,Achim Reichel,1999,7xJhlT341yRS1w3nSGA4zq,DEAQ99902102,Entspann Dich (Bonus Tracks Edition),album,1999-01-01,307733,Achim Reichel,2,1
Aber sonst geht´s mir gut,Alex Parker,2006,2BU61yhRvTCbBrisuEzmZ9,DEW660611159,Eine gute Idee,album,2006-05-19,216266,Alex Parker,6,1
Radio Zuckerhut,Wind,2015,1RDC1U56ctXnfx2TtJlAkg,DEE530901981,Das Beste aus 30 Jahren,album,2015-05-29,199146,Wind,12,1
Wenn du denkst du denkst dann denkst du nur du denkst,Juliane Werding,2001,3Xa3EjP8pOXH4J292BsFF8,DEC737500001,Mein Name ist Juliane,album,2001-08-15,197546,Juliane Werding,2,2
Goethe war gut,Rudi Carrell,2007,6iHumZN4HdYtg551LYLcvy,DEF457427623,Das Beste von Rudi Carrell,album,2007-01-27,149080,Rudi Carrell,3,1
Perfekte Welle,Juli,2004,2LV5joNDrsyuXEh4FBARVK,DEN120402022,Es ist Juli,album,2004-09-20,199320,Juli,6,1
An Der Nordseeküste,Klaus & Klaus,1984,7lg9reolractKDt8McON0K,DEZ650603615,Steht da Ein Pferd Auf'm Flur,album,1984,219173,Klaus & Klaus,6,1
Die Schwarze Barbara,Heino,2003,0Wrak3l8C5HzpGnrK98a1G,DEA349600898,Heino's Hit-Mix,compilation,2003-01-01,126693,Heino,2,1
Blau blüht der Enzian,Heino,2007,2ziPKwmyZeSpg2o4fc17cd,DEF458624314,Das Beste von Heino,compilation,2007-07-23,246466,Heino,1,1
300 PS (... Auto),EAV (Erste Allgemeine Verunsicherung),2008,4Lchc2OMQIlnaRLVN17N7C,DEA810500993,100 Jahre EAV,album,2008-04-18,226360,EAV (Erste Allgemeine Verunsicherung),11,2
"Hey Boss, ich brauch mehr Geld",Gunter Gabriel,1994,0FHRffHaw2QJgmwW45U2hm,DEC737400028,Gunter Gabriel - Die großen Erfolge,compilation,1994-05-30,178600,Gunter Gabriel,2,1
Ciao D'Amore,Klostertaler,1998,0uV7yccuJBzpz2A9bYvVKD,DEA609800080,Bäng Boom Bäng,album,1998-01-01,220733,Klostertaler,14,1
Solang wir lieben,Simone,2001,6nHQrTrXd0dyVb74VfsjxA,DEA600100363,Solang wir lieben,album,2001-01-01,185213,Simone,1,1
Tür an Tür mit Alice,Howard Carpendale,2011,5xhHDc9Il8aUrAu4ijixDg,DEA349502729,All The Best,compilation,2011-01-01,195266,Howard Carpendale,3,2
Verlier sie nie,Michael Wendler,2008,2MUj5Lx28sD7lHZGJwczJ6,DEA810701154,Ausser Kontrolle,album,2008-07-25,197946,Michael Wendler,12,1
Albany (feat. Roger Whittaker),"DJ Herzbeat, Roger Whittaker",2021,0LTsD9w7mj1d0L9TyJ4KXe,DEA812100077,Albany (feat. Roger Whittaker),single,2021-04-16,189483,"DJ Herzbeat, Roger Whittaker",1,1
"Einmal hin, einmal her",Sarah-Jane,2005,5UsoJzNF88QO4PdexDQLnR,ATV110541001,"Sarah Jane - Einmal hin, einmal her",album,2005-06-27,174920,Sarah-Jane,1,1
"Alles hat ein Ende, nur die Wurst hat zwei (Krause und Ruth)",Stephan Remmler,1986,5nl9DKN2UFt3cjefB0hNC8,DEF078602800,Stephan Remmler,album,1986-01-01,240733,Stephan Remmler,10,1
Viel zu oft,Simone,2003,6Olh0YrqtSRtPRqiJSqRhS,DEN120302273,Ganz Nah,album,2003-01-01,233440,Simone,1,1
Joana,Roland Kaiser,1984,4HRtevJUIf3h4vcc0LXL4Q,DEC739900861,Für Dich,album,1984-01-19,245333,Roland Kaiser,4,1
Was geht hier ab,voXXclub,2022,4MfSqOz1Ua9hgZv3zNrkb0,DEUM72202884,Was geht hier ab,single,2022-07-29,210973,voXXclub,1,1
Amsterdam,Axel Fischer,2018,2ikhi7JOn5Kug3tcUOUSBx,DET370824037,"Saufen morgens, mittags, abends - Die Party",compilation,2018-12-13,239431,Ingo ohne Flamingo,23,1
"Saufen morgens, mittags, abends",Ingo ohne Flamingo,2018,1ORfyWYhDPxCAIZ9Ce78A3,DEHY11700420,"Saufen morgens, mittags, abends",single,2018-01-26,243840,Ingo ohne Flamingo,1,1
"Emmylou, Emmylou",Truck Stop,2015,06ZCaJlCf0uzyw1HDM7ngp,DETT81500229,Weites Land,album,2015-07-15,197520,Truck Stop,8,1
Maschen-Draht-Zaun - Radio Edit,Stefan Raab,1999,3io3Tvsz2kg029lusbLmiR,DEQ989900069,Maschen-Draht-Zaun,single,1999-11-12,207800,Stefan Raab,1,1
Das erste Mal tat's noch weh (Les histoires d'amour),"Stefan Waggershausen, Viktor Lazlo",1990,6ZknmWa9VVSFDjGudcrktZ,DEM590300207,Tief im Süden meines Herzens,album,1990-02-28,275106,Stefan Waggershausen,1,1
An der Copacabana,EAV (Erste Allgemeine Verunsicherung),2008,72MyxNUZ3SFivW1QsS5aIe,DEA810500976,100 Jahre EAV,album,2008-04-18,256560,EAV (Erste Allgemeine Verunsicherung),8,1
Etwas für die Ewigkeit,Claudia Jung,2003,2l9GnrHGPK0IpEe6wZzXme,DEA349401775,Etwas Für Die Ewigkeit,album,2003-01-01,197693,Claudia Jung,10,1
I lass di nimmer aus,Relax,2015,7EQWjHjlRvKfKcpfrvMTGK,ATB571504097,Nur dei Herzklopf´n hör´n,album,2015-09-04,250026,Relax,7,1
La Luna Blu,Monika Martin,1996,7DhEYaCKAEUhDu1UXN9pC6,ATK239600074,La Luna Blu,album,1996-01-01,239133,Monika Martin,1,1
Prinzessin,Michael Wendler,2014,5yYD53kfXBuWHTKBxps78B,DEA810700450,The Very Best Of,compilation,2014-01-24,221240,Michael Wendler,19,1
Griechischer Wein,Udo Jürgens,1994,452WSSzuklpg0w4RKTlkvn,DEA817400019,Zeig mir den Platz an der Sonne,album,1994-02-14,244640,Udo Jürgens,13,1
Die Gefühle haben Schweigepflicht,Andrea Berg,1995,6XAhhD4ZbcHoPm7FdcFzbS,DEZ040400109,Gefühle,album,1995-09-04,207626,Andrea Berg,1,1
Die rote Sonne von Barbados,Die Flippers,2008,17746nT5RodRzc10dYUBds,DEA439400011,Singles Vol. 2 (1980 - 1988),compilation,2008-01-18,207000,Die Flippers,5,2
Es fährt ein Zug nach nirgendwo,Christian Anders,2011,3uGkTWh0MXo9jVyyWSVCed,DEA347201034,All The Best,compilation,2011-01-01,282453,Christian Anders,1,1
Der Sonne entgegen,Ben Zucker,2018,1BxvKtuUF3OlrEF3x87e2F,DEUM71801472,Na und?! Sonne!,album,2018-06-01,222706,Ben Zucker,1,1
Rausch,Helene Fischer,2021,0eXTfsdOsGvxf7semdstyh,DEUM72117563,Rausch (Deluxe),album,2021-10-15,210773,Helene Fischer,1,2
Mit dir werden Wunder noch wahr,Bernhard Brink,2003,5DtU9fVQMb7Lz0WXHCYhzp,DEA340300764,Schlager & Stars,album,2003-01-01,217373,Bernhard Brink,14,1
Blaue Lagune,"Anna-Carina Woitschack, Stefan Mross",2020,3kfx1zpnXZPRCim2v8wtzj,DEQS92000125,Stark wie zwei,album,2020-05-29,222858,"Anna-Carina Woitschack, Stefan Mross",6,1
Ohne Dich (schlaf' ich heut Nacht nicht ein),Münchener Freiheit,1986,7JM1dFLOa1kI5MqGnDufiY,DEE868500072,Von Anfang An,album,1986-09-18,247493,Münchener Freiheit,1,1
Carbonara,Spliff,1982,7MU1uNaZzTkwHQV8sRNB3l,DEE868200104,85555 / Herzlichen Glückwunsch,compilation,1982-07-08,259266,Spliff,4,1
"Der wilde, wilde Westen",Truck Stop,2003,7LeYfDE3RuEAkSL5fsmEvH,DEF088000270,Happy Birthday... Truck Stop - 30 Jahre,compilation,2003-01-01,165813,Truck Stop,3,1
Hello Again,Howard Carpendale,1987,4TwHWwirwPR5lQFeSSDhqr,DEA348402001,Gold Collection,compilation,1987-01-01,220666,Howard Carpendale,1,1
Starke Gefühle,Juliane Werding,1988,4Qmw3WjhGemnO7x2acBBci,DEA620102116,Tarot,album,1988-07-27,308560,Juliane Werding,1,1
Lieben heißt Leben,Bernd Clüver,1994,19kGOyugxzRlRlYhurzn9S,DEC719300233,Sag' noch einmal ich liebe Dich,album,1994-02-12,183733,Bernd Clüver,1,1
Büetzer Buebe,"Gölä, Trauffer",2020,6WpKBQFb4fs6nvyrLh9yiv,CH0011900098,Büetzer Buebe,album,2020-01-24,202903,"Gölä, Trauffer",1,1
Mein Herz,Beatrice Egli,2013,1CINbWotyT3WDt9EDh3cww,DEUM71301931,Glücksgefühle,album,2013-05-17,198813,Beatrice Egli,1,1
Wenn den Kindern Flügel wachsen,Ingrid Peters,2005,4AKYFbcTn5DNTougQyjKRM,DEE530401002,Mit meinen Augen,album,2005-07-01,195546,Ingrid Peters,10,1
Hier kommt Kurt,Frank Zander,1988,6RE97TNubJ4EMkoULibMLw,DEC489900054,Kurt - Quo Vadis - remastered and pimped up,album,1988,252440,Frank Zander,2,1
"Verlieben, verloren, vergessen, verzeih'n",Wolfgang Petry,1996,4sNUL4pMNayXyTDfmVe3bH,DEH499200001,Jede Menge,album,1996-10-07,208840,Wolfgang Petry,1,1
Du Depp,Haindling,2013,2GWJsABLaEgkROz0nj3XOE,DEF068403500,Glanzlichter,compilation,2013-01-01,196946,Haindling,3,1
Mary Jane,Jürgen Peter,2011,4SnC7mwI24zoMB1QINaHdq,DEZ921100065,Hör niemals auf zu träumen,album,2011-07-01,212066,Jürgen Peter,10,1
"Resi, i hol di mit mei'm Traktor ab",Wolfgang Fierek,2010,3fNkYqV5NPtJs71epbgNIH,DEA348602073,Mega 50 - Die 80er Jahre,compilation,2010-01-01,204400,Various Artists,16,1
Barfuß im Regen,"Dieter Thomas Kuhn, Band, Michael Holm",2007,1lIeDS4aoI7deLuVUz9iRY,DEGW70700004,Barfuss im Regen,single,2007-06-01,175546,Dieter Thomas Kuhn,1,1
Johnny Däpp (Ich Will Mallorca Zurück),Lorenz Büffel,2016,2TBimpeTwsFPzpSRuUHw18,DEEQ81600063,Johnny Däpp (Ich Will Mallorca Zurück),single,2016-06-10,223671,Lorenz Büffel,1,1
Du hast mich tausendmal belogen,Andrea Berg,2001,65wKbNqjUTmdyk47Z31Czm,DEC710100031,Wo liegt das Paradies,album,2001-02-16,228093,Andrea Berg,7,1
So a schöner Tag,Donikkl,2013,4Q5F5CTGnvpKnQWyMwWGtX,DEA811300086,Lass die Sonne rein,album,2013-03-08,198256,Donikkl,14,1
Kribbeln im Bauch,Pe Werner,1991,4LuIBcsu61ef2AxnNZxC4Z,DEA349102261,Kribbeln Im Bauch,album,1991-01-01,231333,Pe Werner,2,1
Hulapalu,Andreas Gabalier,2015,627QU4vNG3alCWCK1FMeLK,DEUM71500645,Mountain Man,album,2015-05-15,180252,Andreas Gabalier,6,1
Michaela,Bata Illic,1997,1KPdPbyq1Kj3epj5gUtmPb,DEF067201750,Bata Illic/Star Gold-Die Grossen Erfolge,compilation,1997-12-30,188200,Bata Illic,1,1
Ich sterb für dich,Vanessa Mai,2016,7r0rZ3CeaedQ1JP6PvbvFq,DEA811501457,Für dich nochmal (Geschenk-Edition),album,2016-10-21,193413,Vanessa Mai,1,1
Nicht mal eine Stunde,Mike Leon Grosch,2021,0hI2hV0GlXaI4jxMfvg6ga,DEQJ32000003,Wenn wir uns wiedersehen,album,2021-04-30,205773,Mike Leon Grosch,1,1
Kölsche Jung,Brings,2014,6v3Rzc8reAqhJKURPWzpfR,DEUM71303655,14,album,2014-12-05,305226,Brings,1,1
Je T'aime Mon Amour,"Claudia Jung, Richard Clayderman",2011,5Ttn6c0XKGWrvmICP5x9S8,DEA349500705,Claudia Jung - All The Best,compilation,2011-01-01,235773,Claudia Jung,1,1
Freu dich bloß nicht zu früh,Gitte Haenning,2007,50HAvJ4qLyUEoVsAqy60xO,DEC718000017,Ihre größten Erfolge,album,2007-08-31,217173,Gitte Haenning,1,1
Die kleine Kneipe,Peter Alexander,1985,2KUe0QjJnwaQRB95yPmIbJ,DEA817600006,Ein Abend mit Dir,album,1985-03-08,257360,Peter Alexander,1,1
Die Biene Maja,Karel Gott,2014,7jbWJ8dBSFElWnoGn9XYHI,DEF067704050,Die Biene Maja - Meine Lieder,compilation,2014-01-01,158226,Various Artists,11,1
Und heut' Nacht will ich tanzen,Michelle,1999,0G6CQo81dB8YUESy73fs4K,DEE869300035,Ihre größten Erfolge,album,1999-04-06,227306,Michelle,11,1
Night Fever,Dieter Thomas Kuhn & Band,2012,6sCG0j2tZTdNeZvQPcKWZy,DEGW71210014,Hier ist das Leben,album,2012-06-29,225045,Dieter Thomas Kuhn & Band,14,1
Es gibt kein Bier auf Hawaii,Paul Kuhn,2004,4Gs4xdlHoOTNszWdJsIU0Z,DEA340301090,Schlager & Stars,compilation,2004-01-01,174760,Paul Kuhn,3,1
Das Spiel Ist Aus (Game Over),Olaf Henning,2002,0hniHUJCCzDCZZ35W1ro7Z,DEG410000195,Best Of - Meine ersten fünf Jahre,compilation,2002-11-25,223080,Olaf Henning,5,1
Das Lied von Manuel,Manuel & Pony,2014,63smv7iIzlW3sUHSiGtqWs,DEF067904040,Deutsche Schlager 1979,compilation,2014-01-01,216293,Various Artists,6,1
Du warst der geilste Fehler meines Lebens,Nockis,2014,0pLNUaFp98Ll2eTwMeXv4x,DEUM71402214,Du warst der geilste Fehler meines Lebens,album,2014-01-01,186586,Nockis,1,1
Es gibt nur Wasser,Santiano,2012,2gxV47AHMGT7NI25NpO6Pj,DEUM71200052,Bis ans Ende der Welt (Second Edition),album,2012-01-01,194760,Santiano,6,1
So a Nacht,Spider Murphy Gang,1997,2NErf4ow27T3rZZZrjoh5i,DEA818700003,Rock 'N' Roll Story,compilation,1997-01-01,209800,Spider Murphy Gang,16,1
Herzilein,Rudolf Rock & Die Schocker,1990,5RdeEPFIN94JuJfUeEOop2,DEPI81100205,Herzilein,single,1990,203320,Rudolf Rock & Die Schocker,1,1
Der rote Mond von Agadir,Fernando Express,2008,4CUOMhDYc8NqDZTHhpKHxO,DEA340800716,Meer Der Zärtlichkeit,album,2008-01-01,209093,Fernando Express,1,1
Nimm einmal noch meine Hand,Ines Adler,1998,7bxfRoLTj35uJqQSeV7xWB,DEA619660001,Ich war so lange nicht verliebt,album,1998-03-02,260906,Ines Adler,3,1
Willkommen im Club,Ross Antony,2021,4z60dbymqBotiLzXQCdII0,DEQS92100716,Willkommen im Club: 20 Jahre,album,2021-08-13,187702,Ross Antony,1,1
Anton aus Tirol,DJ Ötzi,2010,3T5j2HrD8sG7iFzX8aXCLk,ATHE51083130,"Love, Peace & Vollgas",album,2010-04-24,231079,DJ Ötzi,13,1
Lebt denn dr alte Holzmichl noch?,De Randfichten,2004,3jUdAELIWYWCIWU6rGlCXL,DEA340400165,Dr Holzmichl,album,2004-01-01,203093,De Randfichten,2,1
Einen Traum Für Diese Welt,Xanadu,1990,2iJ6TNWbmG39pxwSwZbY0A,DEA410724307,Paloma Blue,album,1990,174800,Xanadu,7,1
Oberammergau - Après Ski Mix,Peter Wackel,2020,17eP4UcSwuLZdGtV4gIGLr,DEZ520501005,Coolonia - Kölle is cool (Die jecken Karneval Après Ski Schlager Party Hits 2020 bis 2021),compilation,2020-01-03,186013,Various Artists,47,1
Katzeklo,Helge Schneider,1993,45P5X44bMEMZUsSU4Ij7GE,DEC161000071,"Es gibt Reis, Baby",album,1993-11-24,212226,Helge Schneider,6,1
"Ich bin kein Dichter, kein Poet",Tom Astor,2003,6wlMwfmNDtyi09cZmKZO47,DEA340300736,Schlager & Stars,compilation,2003-01-01,186066,Tom Astor,4,1
Alles wird gut,"Thomas Anders, Florian Silbereisen",2022,5yrc8eSlQXZ7ZUEznaQTFX,DEQS92202264,Alles wird gut,single,2022-12-02,233488,"Thomas Anders, Florian Silbereisen",1,1
Und es war Sommer,Peter Maffay,1976,4i6mkvKRIO07bHANBNRDWe,DEA817600022,Und es war Sommer,album,1976-06-07,247880,Peter Maffay,1,1
Moos Hamma,"Münchner Zwietracht, Rudolph Moshammer",2001,6TWdSrzqbsmbcr8SlfXsbT,DEA600000655,Moos hamma,album,2001-01-01,217560,Münchner Zwietracht,1,1
Ich will alles,Gitte Haenning,1986,6s3bDxWkPizTw8hsWv1iIi,DEC718200017,Meilensteine,album,1986-05-12,232226,Gitte Haenning,8,1
