title,artist,estimated_year,spotify_track_id,isrc,spotify_album_name,spotify_album_type,spotify_album_release_date,spotify_duration_ms,spotify_album_artist,spotify_track_number,spotify_disc_number
Venus,Bananarama,1986,4XX1pFUkQOZTYp6Hb6a6Ae,GBAAP9600095,True Confessions (Collector's Edition),album,1986-01-01,229164,Bananarama,6,1
Happy Together,The Turtles,1967,1JO1xLtVc8mWhIoE3YaCL0,USA560587940,Happy Together,album,1967,176293,The Turtles,6,1
Pump Up The Jam,Technotronic,1989,21qnJAMtzC6S5SESuqQLEK,BED018901375,Pump Up The Jam,album,1989-11-28,320306,Technotronic,1,1
La Bamba - Single Version,Ritchie Valens,1959,2aEeghgUcnu75tzcolFMfs,USRH10402003,Ritchie Valens,album,1959,126960,Ritchie Valens,7,1
Heat Waves,Glass Animals,2020,3USxtqRwSYz57Ewm6wWRMp,GBUM72000433,Dreamland,album,2020-08-07,238805,Glass Animals,14,1
Lonely - Re-Recorded 2021,"Nana Darkman, Alexandra Prince",1997,2XAuKwZuf3EPDo9GLfBDsB,DEPI82101614,Lonely (Re-Recorded 2021),single,1997-04-07,246897,Nana Darkman,2,1
Conga!,"Miami Sound Machine, Gloria Estefan",1985,3FdHgoJbH3DXNtGLh56pFu,USSM10026825,Primitive Love,album,1985-08-13,254000,Miami Sound Machine,6,1
Holiday Rap - Version 1986,MC Miker & DJ Sven,2012,2wCgOxYof67qXam24a3pHz,NLE320400069,Holiday Rap: Best of Collector Mc Miker & DJ Sven (Original Version),album,2012-01-01,266274,MC Miker & DJ Sven,1,1
Weekend,Earth & Fire,1979,1bZr5vH0cfmKu5ODpD0DEO,NLC287900009,Reality Fills Fantasy,album,1979-09-08,214906,Earth & Fire,3,1
Love Is You - Radio Version,Thomas Godoj,2008,0ydk0oiUuGNyeUFeWlkjUS,DEE860800369,Plan A!,album,2008-07-04,222533,Thomas Godoj,1,1
Strandbikini,Club Honululu Itsy Bitsy Teenie Weenie Honolulu,2013,1rvr5N1PGjoE7rsJZCdomp,DEU241266207,"So wie damals - Rock 'n' Roll aus Deutschland, Vol.3",compilation,2013-02-14,130506,Various Artists,13,1
People Everyday,Arrested Development,1992,6JvodgYcsthsORxPsEYUoe,USCH39200007,"3 Years, 5 Months And 2 Days In The Life Of...",album,1992-03-24,206893,Arrested Development,3,1
Sucker,Jonas Brothers,2019,22vgEDb5hykfaTwLuskFGD,USUG11900515,Happiness Begins,album,2019-06-07,181026,Jonas Brothers,1,1
California Gurls,"Katy Perry, Snoop Dogg",2012,6tS3XVuOyu10897O3ae7bi,USCA21001135,Teenage Dream: The Complete Confection,album,2012-03-12,234653,Katy Perry,3,1
Let's Get Loud,Jennifer Lopez,1999,42nSaPdT6g3ZIMHmKLlP2p,USSM19900597,On The 6,album,1999-06-01,239400,Jennifer Lopez,5,1
One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa",2018,7ef4DlsgrMEH11cDZd32M6,GBARL1800368,One Kiss (with Dua Lipa),single,2018-04-06,214846,"Calvin Harris, Dua Lipa",1,1
Mambo No. 5 (a Little Bit of...),Lou Bega,1999,6x4tKaOzfNJpEJHySoiJcs,DEH259900010,A Little Bit of Mambo,album,1999-07-19,220293,Lou Bega,1,1
The Girl From Ipanema - Single Version,"Stan Getz, João Gilberto, Astrud Gilberto, Antônio Carlos Jobim",1964,4qGfJb2KByjvzrwo8HNibg,USUMG0000425,Getz/Gilberto (Expanded Edition),album,1964-03-01,167533,"Stan Getz, João Gilberto",17,1
Talkin' Bout a Revolution,Tracy Chapman,1988,0YMFcrMtBowDdD5bPz0cgy,USEE10100547,Tracy Chapman,album,1988-04-05,161600,Tracy Chapman,1,1
