title,artist,estimated_year,spotify_track_id,isrc,spotify_album_name,spotify_album_type,spotify_album_release_date,spotify_duration_ms,spotify_album_artist,spotify_track_number,spotify_disc_number
"Schnaps, das war sein letztes Wort",Willy Millowitsch,2009,5fY1cimPkXg4fgiYQlHjrJ,DEA347800973,Seine Schönsten Lieder,album,2009-01-01,137560,Willy Millowitsch,6,1
Sound Of The Underground,Girls Aloud,2003,0SKjqIViHaXWhmaKuJbMrq,GBAKW0201569,Sound Of The Underground,album,2003-01-01,221426,Girls Aloud,1,1
I Could Never Love Another (After Loving You),The Temptations,1968,3IVgZoEiWpv2FKgWpmdPeL,USMO16800257,Wish It Would Rain,album,1968,214066,The Temptations,1,1
It's My Party,Lesley Gore,1963,1Pq47iFLC5U7j8xeNiNcuS,USPR36205231,I'll Cry If I Want To,album,1963-06-01,140000,Lesley Gore,1,1
(It Goes Like) Nanana - Edit,Peggy Gou,2023,23RoR84KodL5HWvUTneQ1w,GBBKS2300080,(It Goes Like) Nanana [Edit],single,2023-06-15,231545,Peggy Gou,1,1
TEXAS HOLD 'EM,Beyoncé,2024,0Z7nGFVCLfixWctgePsRk9,USSM12401302,TEXAS HOLD 'EM,single,2024-02-11,233456,Beyoncé,1,1
Faded,Alan Walker,2018,698ItKASDavgwZ3WjaWjtz,NOG841549010,Different World,album,2018-12-14,212106,Alan Walker,15,1
Banana - feat. Shaggy,"Conkarah, Shaggy",2019,0GUhPeExe5pXiGcBk03WSm,QMRSZ1901446,Banana (feat. Shaggy),single,2019-08-16,184421,"Conkarah, Shaggy",1,1
Seven Nation Army,The White Stripes,2003,3dPQuX8Gs42Y7b454ybpMR,USVT10300001,Elephant,album,2003-04-01,232106,"The White Stripes, Jack White",1,1
Accidentally In Love,Counting Crows,2004,4ccM2xBxicGigjLqt6A0YY,USIR10400291,Accidentally In Love,single,2004-04-27,188613,Counting Crows,1,1
Ma quale idea,Pino D'Angiò,2016,0nHdPB5NA4xkoDoSLbREwD,ITA647900295,...Balla!,album,2016-01-20,262456,Pino D'Angiò,10,1
Call Me,Blondie,1999,4qO03RMQm88DdpTJcxlglY,USCH38900008,Atomic/Atomix,compilation,1999-01-01,212600,Blondie,4,1
Dancing Feet (feat. DNCE),"Kygo, DNCE",2022,4RAR8g8fZNB106ezUurnE0,USRC12200139,Dancing Feet (feat. DNCE),single,2022-02-25,215203,"Kygo, DNCE",1,1
Spinning Around,Kylie Minogue,2000,3eXI3pYpiY1nRwhvW0c8Qi,GBAYE0000351,Light Years,album,2000-09-25,207866,Kylie Minogue,1,1
Don't Talk Just Kiss,Right Said Fred,2010,1AdjxUGO34wAU2AflAsq5n,GBCKK0966702,Hits!,album,2010-01-01,193224,Right Said Fred,2,1
The Boys Are Back In Town,Thin Lizzy,1976,43DeSV93pJPT4lCZaWZ6b1,GBF087600063,Jailbreak (Deluxe Edition),compilation,1976,266720,Thin Lizzy,6,1
Sweet Home Alabama,Lynyrd Skynyrd,1974,7e89621JPkKaeDSTQ3avtg,USMC17446153,Second Helping (Expanded Edition),album,1974-04-15,283800,Lynyrd Skynyrd,1,1
Lovely Day,Bill Withers,1977,0bRXwKfigvpKZUurwqAlEh,USSM10207844,Menagerie,album,1977-10-29,257157,Bill Withers,1,1
This Ole House,Shakin' Stevens,1981,1Fovcw2l65GDnf3utzqdGC,GBARL0801563,This Ole House,album,1981-03-30,185866,Shakin' Stevens,11,1
I'm Gonna Be (500 Miles),The Proclaimers,1988,67iAlVNDDdddxqSD2EZhFs,GBAYK8800055,Sunshine on Leith,album,1988-01-01,219466,The Proclaimers,1,1
Set Me Free,Jaki Graham,1986,5VFB5iAU0aHUXVPD5JZxnR,GBAYE8600094,Breaking Away,album,1986,216026,Jaki Graham,1,1
Dirty Cash (Money Talks) - Sold Out 7 Inch Mix,The Adventures Of Stevie V,1989,3lcUQs5nyrjoHpQR9Vo2aA,GBDGN0900048,Dirty Cash (Money Talks),single,1989-12-01,243133,The Adventures Of Stevie V,1,1
"Get Up I Feel Like Being Like A Sex Machine, Pts. 1 & 2","James Brown, The Original J.B.s",1995,6hpmTwgNCz81H2bFEREx29,USF067025050,70's Funk Classics,compilation,1995-04-16,318800,James Brown,1,1
Mr. Saxobeat - Radio Edit,Alexandra Stan,2011,3LWDPEXEaLBRGNLbdcbwBR,ROCRP1002864,Saxobeats,album,2011-11-16,195105,Alexandra Stan,1,1
Informer,Snow,1993,2LjiPAQOVazT8sRyXL3XRs,USEW19300006,12 Inches Of Snow,album,1993,268910,Snow,7,1
Pretty Fly (For A White Guy),The Offspring,1998,3SFXsFpeGmBTtQvKiwYMDA,USSM19804199,Americana,album,1998-11-16,188666,The Offspring,4,1
