title,artist,estimated_year,spotify_track_id,isrc,spotify_album_name,spotify_album_type,spotify_album_release_date,spotify_duration_ms,spotify_album_artist,spotify_track_number,spotify_disc_number
I WANNA BE YOUR SLAVE,Måneskin,2021,4pt5fDVTg5GhEvEtlz9dKk,ITB002100115,Teatro d'ira - Vol. I,album,2021-03-19,173346,Måneskin,4,1
Womanizer,Britney Spears,2008,4fixebDZAVToLbUCuEloa2,USJI10800838,Circus (Deluxe Version),album,2008-12-02,224034,Britney Spears,1,1
Island In The Sun,Harry Belafonte,2005,0dRcFOOCdwbEMFLeibJhxV,USRC19901761,The Essential Harry Belafonte,compilation,2005-08-16,201453,Harry Belafonte,2,1
No Time To Die,Billie Eilish,2021,527BVezmvYjbc4JlVJW4Xj,USUM72002771,No Time To Die (Original Motion Picture Soundtrack),album,2021-10-01,244213,Hans Zimmer,21,1
(What A) Wonderful World - Mono,Sam Cooke,1960,2G0GextMwZJLkNxcSZ7ZJ3,USA171920056,The Wonderful World Of Sam Cooke,compilation,1960-02,128786,Sam Cooke,1,1
When I Get You Alone,Robin Thicke,2002,1jzWQHcMT8rxvgUjUiqGIH,USIR10210894,A Beautiful World,album,2002-10-15,217133,Robin Thicke,5,1
Blank Space,Taylor Swift,2014,1u8c2t2Cy7UBoG4ArRcF5g,USCJY1431309,1989 (Deluxe),album,2014-01-01,231826,Taylor Swift,2,1
Love Is In The Air,John Paul Young,1989,38GqIQ4RVkat91RnQrLJYP,AUAP07800004,Classic Hits,compilation,1989-06-05,208866,John Paul Young,12,1
Insomnia,Faithless,2008,3XTefle3zvDkjgS1Fiq14A,GBBXH0300055,Ultimate Insomnia,compilation,2008-06-20,214386,Various Artists,1,1
Whistle,Flo Rida,2012,3bC1ahPIYt1btJzSSEyyrF,USAT21201745,Wild Ones,album,2012-06-22,224653,Flo Rida,1,1
Year of the Cat,Al Stewart,2003,2NQhQlcVAcDRN3jf6FDTlm,GB01A0600657,Running Man - Introducing... Al Stewart,album,2003,394731,Al Stewart,12,1
Surfin' U.S.A. (Mono),The Beach Boys,1963,2dbaIpJoAk2hhrrX2ljKJo,USCA21201943,Surfin' USA (Mono & Stereo),album,1963-03-25,150533,The Beach Boys,1,1
More Than You Know,"Axwell /\ Ingrosso, Axwell, Sebastian Ingrosso",2017,6h5PAsRni4IRlxWr6uDPTP,GBUM71701735,More Than You Know,compilation,2017-07-28,203000,"Axwell /\ Ingrosso, Axwell, Sebastian Ingrosso",1,1
Smoke on the Water,Deep Purple,1990,0XHWClSz0v6RIaRSGqJH3X,GBDXG0600239,Deepest Purple: The Very Best of Deep Purple,compilation,1990-07-23,337613,Deep Purple,12,1
Angel Of Mine,Frank Duval,2001,6R4pFpZdnsUCQDPFM33cn5,DEEG22091375,Spuren,album,2001-01-01,252906,Frank Duval,2,1
"De Do Do Do, De Da Da Da",The Police,1980,0yJvWbn8xQKiDZ84VN5lQG,GBAAM0201154,Zenyatta Mondatta (Remastered 2003),album,1980-10-03,247293,The Police,7,1
Without You,Harry Nilsson,1971,6MrILERJLA3Jcq0E9poZsp,USRC17101019,Nilsson Schmilsson,album,1971,201773,Harry Nilsson,6,1
You Are The Sunshine Of My Life,Stevie Wonder,1972,0n2pjCIMKwHSXoYfEbYMfX,USMO17282852,Talking Book,album,1972-10-28,178200,Stevie Wonder,1,1
If You're Not The One,Daniel Bedingfield,2002,6B6aCxSBsECsulzOkJRxGv,GBAKW0201297,Gotta Get Thru This,compilation,2002,257026,Daniel Bedingfield,4,1
Happy Ending,MIKA,2007,0TzbmxnYrlMV6dEln2l9nb,USC7R0600016,Life In Cartoon Motion,album,2007-02-05,273800,MIKA,10,1
Would I Lie To You?,Charles & Eddie,1992,3PkvYP6223QO3xlW2THd1x,USCA29200183,Duophonic,album,1992-01-01,279600,Charles & Eddie,3,1
Layla,Derek & The Dominos,2023,3b1L5YvC0jtVtVwZJGpxIh,GBA077025030,¡Geniuses Working! Vol. 2,compilation,2023-07-24,163921,Various Artists,14,1
El Mismo Sol - Radio Edit,"Alvaro Soler, Nils Faller",2015,78Ao7RI6XcqQLVA4UaFv8d,DEUM71500557,El Mismo Sol (Radio Edit),single,2015-04-24,182666,Alvaro Soler,1,1
Buona sera,"Louis Prima, Louis Prima Sextet",2018,57RGKNBUbfIBqMFEfE8CxK,DEL111800936,"Musical Moments to Remember: ""Buona sera, Signorina"" – Louis Prima in Studio and on Stage",compilation,2018-09-21,186034,Louis Prima,3,1
Livin' On A Prayer,Bon Jovi,1986,37ZJ0p5Jm13JPevGcx4SkF,USPR38619998,Slippery When Wet,album,1986-08-16,249293,Bon Jovi,3,1
Clint Eastwood,"Gorillaz, Del The Funky Homosapien",2001,1RKUoGiLEbcXN4GY4spQDx,GBAYE0001408,Gorillaz,album,2001-03-26,340920,Gorillaz,5,1
C’Mon Everybody,Eddie Cochran,1960,7ItZM6DMZE2m1X7yIaRxjq,USEM38800158,12 Of His Biggest Hits,compilation,1960-05-01,118226,Eddie Cochran,1,1
Rock Wit U (Awww Baby),Ashanti,2003,6pWzCKTrKrwbUPzY8RLCoP,USDJ20300415,Chapter II,album,2003-01-01,209120,Ashanti,3,1
Millennium,Robbie Williams,1998,1nrackcWUBo87xecPgry2G,GBAYK9800003,I've Been Expecting You,album,1998,247573,Robbie Williams,3,1
Lean On,"Major Lazer, DJ Snake, MØ",2015,2YWjW3wwQIBLNhxWKBQd16,QMUY41500008,Peace Is The Mission : Extended,album,2015-11-27,176561,Major Lazer,4,1
All The Small Things,blink-182,1999,2m1hi0nfMR9vdGC8UcrnwU,USMC19959123,Enema Of The State,album,1999-06-01,167066,blink-182,8,1
Cooler Than Me - Single Mix,"Mike Posner, Gigamesh",2010,34GmTxmlK3TGlmqYCbcQKT,USJAY1000035,31 Minutes to Takeoff,album,2010-09-10,213293,Mike Posner,4,1
Grenade,Bruno Mars,2010,4lLtanYk6tkMvooU0tWzG8,USAT21001883,Doo-Wops & Hooligans,album,2010-05-11,222091,Bruno Mars,1,1
Top Of The World,Carpenters,1972,1Ehdm1PDlKrdfyBsjwEvd1,USAM17200071,A Song For You,album,1972,179173,Carpenters,2,1
Year 3000,Busted,2002,0zjB7ewBWnMgQDMQpFzt92,GBAAN0201145,Busted,album,2002-01-01,196200,Busted,5,1
It's Raining Again,Supertramp,1982,2bzBI23EJWHjXmGj3xlYaM,USAM19500635,"""...Famous Last Words...""",album,1982-10-06,264240,Supertramp,3,1
