title,artist,existing_year,existing_year_source,existing_status,existing_notes,csv_year,estimated_year,spotify_album_name,spotify_album_type,spotify_album_release_date,spotify_duration_ms,spotify_album_artist,spotify_track_number,spotify_disc_number,mb_year,mb_year_source,mb_match_method,mb_score,deezer_year,deezer_invalid_year,deezer_status,deezer_track_id,discogs_year,discogs_rejected_year,discogs_rejected_reason,chosen_candidate,status,notes,diff,spotify_track_id,spotify_match_name,spotify_match_artist,match_method,similarity_score,isrc,spotify_found,manual_source_url,exclusion_reason,final_year
"I'll Be Missing You (feat. Faith Evans, 112)","Diddy, Faith Evans, 112",1997,final_year,auto_accepted_mb_soft_checked,soft auto candidate; Discogs background check pending; risk_flags: catalog_context+remaster_or_deluxe_context+compilation_context; post_accept_check: discogs_soft_flags; soft Discogs check: no earlier conflict,2004,2004,Bad Boy's 10th Anniversary- The Hits,compilation,2004-03-09,301520,Various Artists,13,1,1997,mb_ok,isrc,0.96,,,skipped_off,,,,no_result,1997,auto_accepted_mb_soft_checked,soft auto candidate; Discogs background check pending; risk_flags: catalog_context+remaster_or_deluxe_context+compilation_context; post_accept_check: discogs_soft_flags; soft Discogs check: no earlier conflict,0,3QHONiXGMGU3z68mQInncF,"I'll Be Missing You (feat. Faith Evans, 112)","Diddy, Faith Evans, 112",playlist_import,,USBB40581044,true,,,1997
Welcome to St. Tropez - DJ Antoine vs. Mad Mark Radio Edit,"DJ Antoine, Timati, Kalenna, Mad Mark",2008,final_year,auto_accepted_mb,auto: MusicBrainz strong match,2011,2011,Welcome to DJ Antoine,album,2011-08-12,195192,DJ Antoine,1,1,2008,mb_ok,isrc,1.00,,,skipped_off,,,,,2008,auto_accepted_mb,auto: MusicBrainz strong match,0,5QIG1kl6klZIy0Lu67XNYJ,Welcome to St. Tropez - DJ Antoine vs. Mad Mark Radio Edit,"DJ Antoine, Timati, Kalenna, Mad Mark",playlist_import,,DEN061101459,true,,,2008
Everybody,DJ BoBo,1993,final_year,auto_accepted_mb_soft_checked,soft auto candidate; Discogs background check pending; risk_flags: catalog_context+compilation_context; post_accept_check: discogs_soft_flags; soft Discogs check: no earlier conflict,2006,2006,Greatest Hits,compilation,2006-03-17,229893,DJ BoBo,3,1,1993,mb_ok,isrc,0.92,,,skipped_off,,1994,,no_result,1993,auto_accepted_mb_soft_checked,soft auto candidate; Discogs background check pending; risk_flags: catalog_context+compilation_context; post_accept_check: discogs_soft_flags; soft Discogs check: no earlier conflict,0,4Kc0S6bWVeO7Q4SoMPAyX1,Everybody,DJ BoBo,playlist_import,,DEMI60600006,true,,,1993
Summertime,DJ Jazzy Jeff & The Fresh Prince,1991,final_year,auto_accepted_mb,auto: MusicBrainz strong match,1991,1991,Homebase,album,1991-07-09,270973,DJ Jazzy Jeff & The Fresh Prince,2,1,1991,mb_ok,isrc,0.80,,,skipped_off,,,,,1991,auto_accepted_mb,auto: MusicBrainz strong match,0,20XdEFyaUR9C7aDIdq2OAd,Summertime,DJ Jazzy Jeff & The Fresh Prince,playlist_import,,USJI19100002,true,,,1991
Hey Baby (Radio Mix),DJ Ötzi,2000,final_year,auto_accepted_mb,auto: MusicBrainz strong match,2010,2010,Hey Baby (Uh Ah),single,2010-04-25,219240,DJ Ötzi,1,1,2000,mb_ok,isrc,1.00,,,skipped_off,,,,,2000,auto_accepted_mb,auto: MusicBrainz strong match,0,0HNXnhNZZtRZFLhP4hfyCP,Hey Baby (Radio Mix),DJ Ötzi,playlist_import,,ATHE51081010,true,,,2000
Loco Contigo (feat. J. Balvin & Tyga),"DJ Snake, J Balvin, Tyga",2019,final_year,auto_accepted_mb,auto: MusicBrainz strong match,2019,2019,Carte Blanche,album,2019-07-25,185194,DJ Snake,10,1,2019,mb_ok,isrc,1.00,,,skipped_off,,,,,2019,auto_accepted_mb,auto: MusicBrainz strong match,0,6osaMSJh9NguagEDQcZaKx,Loco Contigo (feat. J. Balvin & Tyga),"DJ Snake, J Balvin, Tyga",playlist_import,,USUG11901580,true,,,2019
Tom's Diner,"DNA, Suzanne Vega",1990,final_year,auto_accepted_mb_soft_checked,soft auto candidate; Discogs background check pending; risk_flags: catalog_context+compilation_context; post_accept_check: discogs_soft_flags; soft Discogs check: no earlier conflict,2021,2021,Mr. A & Mr. M: The Story of A&M Records (Episode 2),compilation,2021-12-12,326066,Various Artists,13,1,1990,mb_ok,isrc,0.80,,,skipped_off,,,,no_result,1990,auto_accepted_mb_soft_checked,soft auto candidate; Discogs background check pending; risk_flags: catalog_context+compilation_context; post_accept_check: discogs_soft_flags; soft Discogs check: no earlier conflict,0,0mFIn4etymn4sDWNrERNJh,Tom's Diner,"DNA, Suzanne Vega",playlist_import,,USAM19104303,true,,,1990
Cake By The Ocean,DNCE,2015,final_year,auto_accepted_mb,auto: MusicBrainz strong match,2016,2016,DNCE,album,2016-11-18,219146,DNCE,3,1,2015,mb_ok,isrc,1.00,,,skipped_off,,,,,2015,auto_accepted_mb,auto: MusicBrainz strong match,0,76hfruVvmfQbw0eYn1nmeC,Cake By The Ocean,DNCE,playlist_import,,USUM71514637,true,,,2015
American Pie - Single Version,Don McLean,1971,final_year,auto_accepted_mb_soft_checked,soft auto candidate; Discogs background check pending; risk_flags: catalog_context+compilation_context; post_accept_check: discogs_soft_flags; soft Discogs check: no earlier conflict,2019,2019,Lieblings... 70er,compilation,2019-09-03,244786,Various Artists,16,1,1971,mb_ok,isrc,0.92,,,skipped_off,,1992,,no_result,1971,auto_accepted_mb_soft_checked,soft auto candidate; Discogs background check pending; risk_flags: catalog_context+compilation_context; post_accept_check: discogs_soft_flags; soft Discogs check: no earlier conflict,0,6lHTt7tzOzCcVaBf1CIQfR,American Pie - Single Version,Don McLean,playlist_import,,USEM39000209,true,,,1971
Danza Kuduro,"Don Omar, Lucenzo",2010,final_year,auto_accepted_mb,auto: MusicBrainz strong match,2010,2010,Meet The Orphans,album,2010-01-01,198786,Don Omar,12,1,2010,mb_ok,isrc,0.81,,,skipped_off,,,,,2010,auto_accepted_mb,auto: MusicBrainz strong match,0,6DXLO8LndZMVOHM0wNbpzg,Danza Kuduro,"Don Omar, Lucenzo",playlist_import,,USUM71020778,true,,,2010
