title,artist,existing_year,existing_year_source,existing_status,existing_notes,csv_year,estimated_year,spotify_album_name,spotify_album_type,spotify_album_release_date,spotify_duration_ms,spotify_album_artist,spotify_track_number,spotify_disc_number,mb_year,mb_year_source,mb_match_method,mb_score,deezer_year,deezer_invalid_year,deezer_status,deezer_track_id,discogs_year,discogs_rejected_year,discogs_rejected_reason,chosen_candidate,status,notes,diff,spotify_track_id,spotify_match_name,spotify_match_artist,match_method,similarity_score,isrc,spotify_found,manual_source_url,exclusion_reason,final_year
Dicht im Flieger,Julian Sommer,2022,final_year,auto_accepted_mb_lb_confirmed,review_reason: mb_text_match_only; risk_flags: mb_text_match_only; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_text_match_only; Auto accepted: ListenBrainz->MusicBrainz confirmed existing MusicBrainz year.,2022,2022,Dicht im Flieger,single,2022-03-18,225882,Julian Sommer,1,1,2022,mb_ok,text,1.00,,,skipped_off,,,,,,manual_skipped,review_reason: mb_text_match_only; risk_flags: mb_text_match_only; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_text_match_only; manual: skipped for later review,0,6sS77FZh2eJfYBsFUW6hjI,Dicht im Flieger,Julian Sommer,playlist_import,,DEUM72201033,true,,,
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,2016,csv_year,review_needed,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+compilation_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late,2016,2016,TROLLS (Original Motion Picture Soundtrack),compilation,2016-10-25,237546,Trolls,3,1,2016,mb_ok,isrc,1.00,,,skipped_off,,,,,,manual_skipped,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+compilation_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late; manual: skipped for later review,0,0x93VOS1AOKUgJkZjcG1sh,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,playlist_import,,USRC11600876,true,,,
Lambada - Original Version 1989,Kaoma,1989,csv_year,review_needed,review_reason: mb_uncertain; risk_flags: mb_uncertain+mb_text_match_only; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_uncertain+mb_text_match_only,1989,1989,Lambada - Les originaux No. 1 de l'été (Original 1989),album,1989-01-01,207466,Kaoma,1,1,2017,mb_match_uncertain,text,0.96,,,skipped_off,,,,,,manual_skipped,review_reason: mb_uncertain; risk_flags: mb_uncertain+mb_text_match_only+existing_year_conflict+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_uncertain+mb_text_match_only+mb_year_suspicious_late+existing_year_conflict; manual: skipped for later review,28,6xepovPqjvrkEw9Y5AMmTm,Lambada - Original Version 1989,Kaoma,playlist_import,,FR6V89602629,true,,,
Fresh,Kool & The Gang,1984,final_year,auto_accepted_mb_lb_confirmed,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late; Auto accepted: ListenBrainz->MusicBrainz confirmed existing MusicBrainz year.,1984,1984,Emergency (Reissue),album,1984-11-15,266560,Kool & The Gang,2,1,1984,mb_ok,isrc,0.96,,,skipped_off,,,,,,manual_skipped,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late; manual: skipped for later review,0,1mMYaXpT65iZDtvfRA9EkE,Fresh,Kool & The Gang,playlist_import,,USUMG0000175,true,,,
The Edge Of Glory,Lady Gaga,2011,csv_year,review_needed,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late,2011,2011,Born This Way (International Special Edition Version),album,2011-05-23,320546,Lady Gaga,17,1,2011,mb_ok,isrc,1.00,,,skipped_off,,,,,,manual_skipped,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late; manual: skipped for later review,0,57F80059mWaWFvWG3tBTbO,The Edge Of Glory,Lady Gaga,playlist_import,,USUM71106458,true,,,
This Love,Maroon 5,2002,csv_year,review_needed,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late,2002,2002,Songs About Jane: 10th Anniversary Edition,album,2002,206200,Maroon 5,2,1,2002,mb_ok,isrc,1.00,,,skipped_off,,,,,,manual_skipped,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late; manual: skipped for later review,0,6ECp64rv50XVz93WvxXMGF,This Love,Maroon 5,playlist_import,,USJAY0300080,true,,,
Lonely - Re-Recorded 2021,"Nana Darkman, Alexandra Prince",1997,csv_year,review_needed,review_reason: mb_text_match_only; risk_flags: mb_text_match_only; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_text_match_only,1997,1997,Lonely (Re-Recorded 2021),single,1997-04-07,246897,Nana Darkman,2,1,2021,mb_ok,text,0.96,,,skipped_off,,,,,,manual_skipped,review_reason: existing_year_conflict; risk_flags: mb_text_match_only+existing_year_conflict+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_text_match_only+mb_year_suspicious_late+existing_year_conflict; manual: skipped for later review,24,2XAuKwZuf3EPDo9GLfBDsB,Lonely - Re-Recorded 2021,"Nana Darkman, Alexandra Prince",playlist_import,,DEPI82101614,true,,,
Guten Morgen Sonnenschein,Nana Mouskouri,1977,final_year,auto_accepted_mb_lb_confirmed,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+compilation_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late; Auto accepted: ListenBrainz->MusicBrainz confirmed existing MusicBrainz year.,1977,1977,Glück ist wie ein Schmetterling (Originale),compilation,1977-01-01,156026,Nana Mouskouri,3,1,1977,mb_ok,isrc,1.00,,,skipped_off,,,,,,manual_skipped,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+compilation_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late; manual: skipped for later review,0,5lpXFKgD6PeT6endUq5EX9,Guten Morgen Sonnenschein,Nana Mouskouri,playlist_import,,CH0527780010,true,,,
Summer Wine,"Nancy Sinatra, Lee Hazlewood",1968,csv_year,review_needed,review_reason: discogs_earlier_than_mb; risk_flags: discogs_earlier_than_mb+mb_year_suspicious_late; recommendation: manual_review_compare_musicbrainz_discogs; discogs_lookup: mb_year_suspicious_late,1968,1968,Nancy & Lee,album,1968-03,224278,"Nancy Sinatra, Lee Hazlewood",4,1,1986,mb_ok,isrc,0.84,,,skipped_off,,1967,,,,manual_skipped,review_reason: discogs_earlier_than_mb; risk_flags: existing_year_conflict+discogs_earlier_than_mb+mb_year_suspicious_late; recommendation: manual_review_compare_musicbrainz_discogs; discogs_lookup: mb_year_suspicious_late+existing_year_conflict; manual: skipped for later review,18,2JKRZGp4LwT9GGbcXtx2sw,Summer Wine,"Nancy Sinatra, Lee Hazlewood",playlist_import,,USASE0510168,true,,,
La La La,"Naughty Boy, Sam Smith",2013,csv_year,review_needed,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late,2013,2013,Hotel Cabana (Deluxe Version),album,2013-01-01,222200,Naughty Boy,7,1,2013,mb_ok,isrc,1.00,,,skipped_off,,,,,,manual_skipped,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late; manual: skipped for later review,0,3wPPWcVuinAU7dXcJXtCID,La La La,"Naughty Boy, Sam Smith",playlist_import,,GBAAA1300148,true,,,
Spirit In The Sky - Deluxe Edition,Norman Greenbaum,1969,csv_year,review_needed,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late,1969,1969,Spirit In The Sky (Deluxe Edition),album,1969-01-01,242893,Norman Greenbaum,2,1,1969,mb_ok,isrc,1.00,,,skipped_off,,,,,,manual_skipped,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late; manual: skipped for later review,0,0jvN7eQJJt4nxQzgQfZ1SP,Spirit In The Sky - Deluxe Edition,Norman Greenbaum,playlist_import,,USRE19600416,true,,,
Flying Through the Air,Oliver Onions,1994,csv_year,review_needed,review_reason: mb_uncertain; risk_flags: mb_uncertain+mb_text_match_only+catalog_context+compilation_context; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_uncertain+mb_text_match_only,1994,1994,Bud Spencer / Terence Hill Greatest Hits,compilation,1994-10-17,172360,Oliver Onions,20,1,1973,mb_match_uncertain,text,1.00,,,skipped_off,,1973,,,,manual_skipped,review_reason: mb_uncertain; risk_flags: mb_uncertain+mb_text_match_only+catalog_context+compilation_context+existing_year_conflict; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_uncertain+mb_text_match_only+existing_year_conflict; manual: skipped for later review,21,1PEZiGU255hLkwyn5CwHqj,Flying Through the Air,Oliver Onions,playlist_import,,DEH840501531,true,,,
Santamaria,Oliver Onions,2008,csv_year,review_needed,review_reason: mb_uncertain; risk_flags: mb_uncertain+mb_text_match_only; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_uncertain+mb_text_match_only,2008,2008,Santamaria,album,2008-04-19,245280,Oliver Onions,1,1,1980,mb_match_uncertain,text,0.81,,,skipped_off,,,,,,manual_skipped,review_reason: mb_uncertain; risk_flags: mb_uncertain+mb_text_match_only+existing_year_conflict; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_uncertain+mb_text_match_only+existing_year_conflict; manual: skipped for later review,28,3GYdFB1UtGEqKGlf6R80Nx,Santamaria,Oliver Onions,playlist_import,,DEA370801193,true,,,
Live Is Life (Digitally Remastered) - Single Version,Opus,2011,csv_year,review_needed,review_reason: mb_uncertain; risk_flags: mb_uncertain+mb_text_match_only; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_uncertain+mb_text_match_only,2011,2011,Live Is Life,single,2011-02-11,249500,Opus,1,1,1984,mb_match_uncertain,text,0.78,,,skipped_off,,,,,,manual_skipped,review_reason: mb_uncertain; risk_flags: mb_uncertain+mb_text_match_only+existing_year_conflict; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_uncertain+mb_text_match_only+existing_year_conflict; manual: skipped for later review,27,5luOvrlnzfvJQdQjrScVj4,Live Is Life (Digitally Remastered) - Single Version,Opus,playlist_import,,ATX141100001,true,,,
Cover Me In Sunshine,"P!nk, Willow Sage Hart",2021,final_year,auto_accepted_mb_lb_confirmed,review_reason: mb_uncertain; risk_flags: mb_uncertain+mb_text_match_only; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_uncertain+mb_text_match_only; Auto accepted: ListenBrainz->MusicBrainz confirmed existing MusicBrainz year.,2021,2021,Cover Me In Sunshine,single,2021-02-12,141050,"P!nk, Willow Sage Hart",1,1,2021,mb_match_uncertain,text,0.78,,,skipped_off,,,,,,manual_skipped,review_reason: mb_uncertain; risk_flags: mb_uncertain+mb_text_match_only; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_uncertain+mb_text_match_only; manual: skipped for later review,0,6Tio0ZoDeSQnI7EBAqWer2,Cover Me In Sunshine,"P!nk, Willow Sage Hart",playlist_import,,USRC12100138,true,,,
Zwei Mädchen aus Germany,Paul Anka,2016,csv_year,review_needed,review_reason: mb_uncertain; risk_flags: mb_uncertain+mb_text_match_only+catalog_context+compilation_context+discogs_earlier_than_mb+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_uncertain+mb_text_match_only+mb_year_suspicious_late,2016,2016,Die besten deutschen Teenager-Hits der 50er & 60er,compilation,2016-03-25,165320,Various Artists,24,1,2010,mb_match_uncertain,text,0.96,,,skipped_off,,1964,,,,manual_skipped,review_reason: mb_uncertain; risk_flags: mb_uncertain+mb_text_match_only+catalog_context+compilation_context+existing_year_conflict+discogs_earlier_than_mb+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_uncertain+mb_text_match_only+mb_year_suspicious_late+existing_year_conflict; manual: skipped for later review,6,4ImlIOgbZtZbhY9AUSHpGm,Zwei Mädchen aus Germany,Paul Anka,playlist_import,,DEAR41617538,true,,,
It's a Real Good Feeling,"Peter Kent, Luisa Fernandez",2000,csv_year,review_needed,review_reason: mb_text_match_only; risk_flags: mb_text_match_only; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_text_match_only,2000,2000,Lay Love on You,album,2000,233853,"Peter Kent, Luisa Fernandez",2,1,2009,mb_match_uncertain,text,0.92,,,skipped_off,,,,,,manual_skipped,review_reason: mb_uncertain; risk_flags: mb_uncertain+mb_text_match_only+existing_year_conflict+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_uncertain+mb_text_match_only+mb_year_suspicious_late+existing_year_conflict; manual: skipped for later review,9,3k2F7ncBMqQOwAY29KiiPF,It's a Real Good Feeling,"Peter Kent, Luisa Fernandez",playlist_import,,AUXN22294751,true,,,
I Want To Break Free,Queen,2018,csv_year,review_needed,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+compilation_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late,2018,2018,Bohemian Rhapsody (The Original Soundtrack),compilation,2018-10-19,223080,Queen,13,1,2018,mb_ok,isrc,1.00,,,skipped_off,,,,,,manual_skipped,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+compilation_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late; manual: skipped for later review,0,7iAqvWLgZzXvH38lA06QZg,I Want To Break Free,Queen,playlist_import,,GBUM71805978,true,,,
Sailing,Rod Stewart,1975,csv_year,review_needed,review_reason: discogs_earlier_than_mb; risk_flags: discogs_earlier_than_mb+mb_year_suspicious_late; recommendation: manual_review_compare_musicbrainz_discogs; discogs_lookup: mb_year_suspicious_late,1975,1975,Atlantic Crossing,album,1975,277960,Rod Stewart,10,1,2008,mb_ok,isrc,1.00,,,skipped_off,,1975,,,,manual_skipped,review_reason: discogs_earlier_than_mb; risk_flags: existing_year_conflict+discogs_earlier_than_mb+mb_year_suspicious_late; recommendation: manual_review_compare_musicbrainz_discogs; discogs_lookup: mb_year_suspicious_late+existing_year_conflict; manual: skipped for later review,33,6OuRbvP4PgbuzBIapVzmFJ,Sailing,Rod Stewart,playlist_import,,USWB10807925,true,,,
Boys - Summertime Love,Sabrina,1988,csv_year,review_needed,review_reason: mb_uncertain; risk_flags: mb_uncertain+mb_text_match_only+discogs_earlier_than_mb+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_uncertain+mb_text_match_only+mb_year_suspicious_late,1988,1988,Sabrina,album,1988,234812,Sabrina,4,1,2026,mb_match_uncertain,text,0.96,,,skipped_off,,1987,,,,manual_skipped,review_reason: mb_uncertain; risk_flags: mb_uncertain+mb_text_match_only+existing_year_conflict+discogs_earlier_than_mb+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_uncertain+mb_text_match_only+mb_year_suspicious_late+existing_year_conflict; manual: skipped for later review,38,1uI848raFaNWwe9HjHpjQ5,Boys - Summertime Love,Sabrina,playlist_import,,GBJUT1009950,true,,,
Played-A-Live (The Bongo Song) - Radio Edit,Safri Duo,2005,csv_year,review_needed,review_reason: mb_uncertain; risk_flags: mb_uncertain+mb_text_match_only+catalog_context+compilation_context; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_uncertain+mb_text_match_only,2005,2005,Hits For Børn 2,compilation,2005-01-01,196560,Various Artists,1,1,2001,mb_match_uncertain,text,0.74,,,skipped_off,,2002,,,,manual_skipped,review_reason: mb_uncertain; risk_flags: mb_uncertain+mb_text_match_only+catalog_context+compilation_context+existing_year_conflict; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_uncertain+mb_text_match_only+existing_year_conflict; manual: skipped for later review,4,2MDdh4rbNNBiy8l6XgI6E9,Played-A-Live (The Bongo Song) - Radio Edit,Safri Duo,playlist_import,,DKBKA0001601,true,,,
Smooth (feat. Rob Thomas),"Santana, Rob Thomas",1999,csv_year,review_needed,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late,1999,1999,Supernatural (Remastered),album,1999-06-15,294986,Santana,5,1,1999,mb_ok,isrc,1.00,,,skipped_off,,,,,,manual_skipped,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late; manual: skipped for later review,0,0n2SEXB2qoRQg171q7XqeW,Smooth (feat. Rob Thomas),"Santana, Rob Thomas",playlist_import,,USAR19900033,true,,,
Chocolate (Choco Choco) - Single Version,Soul Control,2020,csv_year,review_needed,review_reason: mb_uncertain; risk_flags: mb_uncertain+mb_text_match_only; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_uncertain+mb_text_match_only,2020,2020,Here We Go,album,2020-12-11,197866,Soul Control,1,1,2004,mb_match_uncertain,text,0.96,,,skipped_off,,2004,,,,manual_skipped,review_reason: mb_uncertain; risk_flags: mb_uncertain+mb_text_match_only+existing_year_conflict; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_uncertain+mb_text_match_only+existing_year_conflict; manual: skipped for later review,16,3J5F2R62SIyivGUdebjR0O,Chocolate (Choco Choco) - Single Version,Soul Control,playlist_import,,DEA312007513,true,,,
Get It On,T. Rex,1971,final_year,auto_accepted_mb_lb_confirmed,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+compilation_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late; Auto accepted: ListenBrainz->MusicBrainz confirmed existing MusicBrainz year.,1971,1971,Electric Warrior,compilation,1971-09-24,262613,T. Rex,6,1,1971,mb_ok,isrc,0.96,,,skipped_off,,,,,,manual_skipped,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+compilation_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late; manual: skipped for later review,0,0LoQuiekvzqx7n8flgEKzF,Get It On,T. Rex,playlist_import,,GBCHM7100038,true,,,
Tacata,Tacabro,2013,csv_year,review_needed,review_reason: mb_uncertain; risk_flags: mb_uncertain+mb_text_match_only+catalog_context+compilation_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_uncertain+mb_text_match_only+mb_year_suspicious_late,2013,2013,Latin Hits Summer 2013,compilation,2013-04-29,209333,Various Artists,24,1,2012,mb_ok,isrc,0.96,,,skipped_off,,2012,,,,manual_skipped,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+compilation_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late; manual: skipped for later review,1,6EhPXpRYkwGwg8lx3XiGTI,Tacata,Tacabro,playlist_import,,ITV951100211,true,,,
Seasons in the Sun,Terry Jacks,1974,csv_year,review_needed,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late,1974,1974,Seasons In The Sun (Expanded Edition),album,1974-01-01,208853,Terry Jacks,11,1,1973,mb_ok,isrc,1.00,,,skipped_off,,,,,,manual_skipped,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late; manual: skipped for later review,1,7pGMRy91RcQT9oHdPgYz3A,Seasons in the Sun,Terry Jacks,playlist_import,,USAR17400171,true,,,
Here Comes The Sun - Remastered 2009,The Beatles,1969,csv_year,review_needed,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late,1969,1969,Abbey Road (Remastered),album,1969-09-26,185733,The Beatles,7,1,1969,mb_ok,isrc,0.96,,,skipped_off,,,,,,manual_skipped,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late; manual: skipped for later review,0,6dGnYIeXmHdcikdzNNDMm2,Here Comes The Sun - Remastered 2009,The Beatles,playlist_import,,GBAYE0601696,true,,,
Let It Be - Remastered 2009,The Beatles,1970,csv_year,review_needed,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late,1970,1970,Let It Be (Remastered),album,1970-05-08,243026,The Beatles,6,1,1970,mb_ok,isrc,0.96,,,skipped_off,,,,,,manual_skipped,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late; manual: skipped for later review,0,7iN1s7xHE4ifF5povM6A48,Let It Be - Remastered 2009,The Beatles,playlist_import,,GBAYE0601713,true,,,
You Really Got Me,The Kinks,1964,csv_year,review_needed,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late,1964,1964,Kinks (Deluxe),album,1964-10-02,131573,The Kinks,7,1,1964,mb_ok,isrc,1.00,,,skipped_off,,,,,,manual_skipped,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late; manual: skipped for later review,0,29SyMC0plk6qw8NMF7lfRL,You Really Got Me,The Kinks,playlist_import,,GBAJE6400005,true,,,
"I'll Be There for You (Theme from ""Friends')",The Rembrandts,1995,csv_year,review_needed,review_reason: mb_text_match_only; risk_flags: mb_text_match_only; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_text_match_only,1995,1995,I'll Be There For You (Theme From FRIENDS) / Snippets: Don't Hide Your Love / End Of The Beginning / Lovin' Me Insane / Drowning In Your Tears / This House Is Not A Home / What Will It Take [Digital 45],single,1995,187293,The Rembrandts,1,1,1995,mb_ok,text,1.00,,,skipped_off,,,,,,manual_skipped,review_reason: mb_text_match_only; risk_flags: mb_text_match_only; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_text_match_only; manual: skipped for later review,0,1lfjTOtTRUDkzcmahA4lcs,"I'll Be There for You (Theme from ""Friends')",The Rembrandts,playlist_import,,USEE10900777,true,,,
Stop! In The Name Of Love,The Supremes,1965,csv_year,review_needed,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+compilation_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late,1965,1965,More Hits By The Supremes,album,1965-07-23,172906,The Supremes,4,1,1965,mb_ok,isrc,1.00,,,skipped_off,,,,,,manual_skipped,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+compilation_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late; manual: skipped for later review,0,52FlwUMMDnTK8TGkCag9Jd,Stop! In The Name Of Love,The Supremes,playlist_import,,USMO16500288,true,,,
New York-Rio-Tokyo,Trio Rio,1986,final_year,auto_accepted_mb_lb_confirmed,review_reason: mb_text_match_only; risk_flags: mb_text_match_only; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_text_match_only; Auto accepted: ListenBrainz->MusicBrainz confirmed existing MusicBrainz year.,1986,1986,Trio Rio,album,1986-05-05,281933,Trio Rio,2,1,1986,mb_ok,text,0.80,,,skipped_off,,,,,,manual_skipped,review_reason: mb_text_match_only; risk_flags: mb_text_match_only; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_text_match_only; manual: skipped for later review,0,68h3Um0UOY8FkMfcelv4Vb,New York-Rio-Tokyo,Trio Rio,playlist_import,,DEHA68600002,true,,,
No Limit,2 Unlimited,1993,final_year,auto_accepted_mb_soft_checked,soft auto candidate; Discogs background check pending; risk_flags: catalog_context+compilation_context; post_accept_check: discogs_soft_flags; soft Discogs check: no earlier conflict,2014,2014,Unlimited Hits & Remixes,compilation,2014-05-05,223685,2 Unlimited,1,1,1993,mb_ok,isrc,1.00,,,skipped_off,,2014,,no_result,1993,auto_accepted_mb_soft_checked,soft auto candidate; Discogs background check pending; risk_flags: catalog_context+compilation_context; post_accept_check: discogs_soft_flags; soft Discogs check: no earlier conflict,0,1hGvGM76KOX6tpAyaHB0au,No Limit,2 Unlimited,playlist_import,,BEAA19507007,true,,,1993
Around the World (La La La La La),"A Touch Of Class, Pete Konemann",2000,csv_year,review_needed,review_reason: mb_uncertain; risk_flags: mb_uncertain+mb_text_match_only; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_uncertain+mb_text_match_only,2000,2000,Planet Pop,album,2000-11-22,214533,A Touch Of Class,2,1,2020,mb_match_uncertain,text,0.96,,,skipped_off,,,,,2020,manual_confirmed_mb,review_reason: mb_uncertain; risk_flags: mb_uncertain+mb_text_match_only+existing_year_conflict+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_uncertain+mb_text_match_only+mb_year_suspicious_late+existing_year_conflict; manual: confirmed MusicBrainz year 2020,20,0IbTukfZdB91gclEXUQZkH,Around the World (La La La La La),"A Touch Of Class, Pete Konemann",playlist_import,,DEP810000008,true,,,2020
SOS,ABBA,1975,final_year,auto_accepted_mb_soft_checked,soft auto candidate; Discogs background check pending; risk_flags: catalog_context+compilation_context; post_accept_check: discogs_soft_flags; soft Discogs check: no earlier conflict,2008,2008,ABBA Gold,compilation,2008-01-01,201360,ABBA,10,1,1975,mb_ok,isrc,1.00,,,skipped_off,,2001,,,1975,auto_accepted_mb_soft_checked,soft auto candidate; Discogs background check pending; risk_flags: catalog_context+compilation_context; post_accept_check: discogs_soft_flags; soft Discogs check: no earlier conflict,0,5pMmWfuL0FTGshYt7HVJ8P,SOS,ABBA,playlist_import,,SEAYD7501040,true,,,1975
